epoch,train_loss,train_acc,val_loss,val_acc,lr,time_s
1,0.990783,0.6066,0.971817,0.6367,1.0e-03,0.4
2,0.969933,0.6771,0.956068,0.6121,1.0e-03,0.2
3,0.948902,0.6675,0.938927,0.6355,9.9e-04,0.2
4,0.918962,0.6743,0.934326,0.5361,9.8e-04,0.2
5,0.882477,0.6817,0.918001,0.6473,9.8e-04,0.2
6,0.840367,0.7100,0.926175,0.6812,9.7e-04,0.2
7,0.801159,0.7285,0.935407,0.6500,9.5e-04,0.2
8,0.765441,0.7467,0.964807,0.6794,9.4e-04,0.2
9,0.731365,0.7601,0.965517,0.6421,9.2e-04,0.2
10,0.698581,0.7761,0.985379,0.6167,9.1e-04,0.2
11,0.670803,0.7852,1.004511,0.6291,8.9e-04,0.2
12,0.645003,0.7957,1.025771,0.6373,8.7e-04,0.2
13,0.620407,0.8069,1.057469,0.6485,8.4e-04,0.2
14,0.598171,0.8119,1.068364,0.6203,8.2e-04,0.2
15,0.577951,0.8219,1.094176,0.6373,8.0e-04,0.2
