generation,best_fitness,mean_fitness,median_fitness,sigma,time_s
1,9.20,7.80,8.94,0.4857,17.0
2,11.30,10.14,10.97,0.4740,16.4
3,10.25,9.53,10.08,0.4641,16.5
4,10.11,9.65,9.84,0.4549,16.5
5,8.17,7.65,7.92,0.4470,16.5
6,10.66,9.41,9.47,0.4399,16.4
7,9.64,8.69,8.80,0.4335,16.5
8,10.66,9.61,10.08,0.4282,16.4
9,8.38,8.01,8.30,0.4233,16.5
10,9.72,8.65,9.25,0.4189,16.5
11,9.02,8.41,8.47,0.4146,16.5
12,9.67,9.08,9.56,0.4111,16.4
13,9.52,8.27,8.86,0.4079,16.5
14,9.41,8.67,8.78,0.4051,16.5
15,10.98,10.00,10.36,0.4026,16.5
16,10.02,9.10,9.72,0.3998,16.5
17,9.05,8.35,8.78,0.3972,16.5
18,8.30,7.91,7.92,0.3950,16.5
19,9.91,7.82,8.34,0.3931,16.5
20,10.72,9.45,10.55,0.3916,16.4
21,9.69,9.08,9.50,0.3900,16.5
22,9.14,8.65,8.84,0.3890,16.4
23,9.09,8.45,8.44,0.3879,16.5
24,9.06,8.04,8.41,0.3868,16.4
25,9.02,8.26,8.34,0.3857,16.5
26,9.48,8.67,9.05,0.3850,16.5
27,9.52,7.81,7.55,0.3845,16.5
28,8.95,7.67,8.55,0.3839,16.4
29,9.52,8.21,8.50,0.3830,16.5
30,10.56,9.44,10.03,0.3822,16.4
31,10.45,9.47,9.88,0.3818,16.5
32,8.88,8.23,8.22,0.3820,16.4
33,8.72,7.87,8.06,0.3824,16.5
34,9.84,8.97,9.20,0.3827,16.4
35,10.95,9.81,10.50,0.3829,16.5
36,9.56,8.79,9.06,0.3830,16.4
37,9.64,9.12,9.20,0.3832,16.5
38,10.14,8.90,8.94,0.3834,16.4
39,10.45,9.01,9.59,0.3837,16.5
40,8.64,7.52,7.97,0.3837,16.4
41,9.72,8.17,8.28,0.3835,16.5
42,10.98,9.57,10.06,0.3838,16.4
43,10.16,9.08,9.46,0.3843,16.5
44,10.55,9.40,10.34,0.3848,16.4
45,10.00,9.08,9.44,0.3852,16.5
46,9.73,9.29,9.50,0.3853,16.4
47,9.16,8.50,8.95,0.3855,16.5
48,9.39,8.57,8.45,0.3856,16.5
49,9.69,8.79,9.02,0.3854,16.5
50,10.53,9.45,10.14,0.3850,16.5
51,10.31,9.55,9.64,0.3854,16.5
52,10.03,9.14,9.48,0.3858,16.4
53,10.28,9.34,9.25,0.3860,16.5
54,9.69,8.78,8.88,0.3863,16.4
55,9.95,9.51,9.64,0.3866,16.5
56,8.58,7.67,7.69,0.3871,16.4
57,9.33,8.52,8.33,0.3877,16.5
58,9.56,7.85,7.84,0.3880,16.4
59,10.05,9.05,9.06,0.3882,16.5
60,10.02,8.91,9.26,0.3882,16.4
61,9.98,8.89,9.42,0.3880,16.5
62,10.30,9.22,10.00,0.3880,16.4
63,9.78,9.05,9.14,0.3883,16.5
64,10.09,8.87,8.84,0.3883,16.4
65,10.44,9.42,9.45,0.3881,16.5
66,10.27,8.96,9.27,0.3880,16.4
67,9.62,8.86,8.65,0.3882,16.5
68,10.14,9.14,9.62,0.3889,16.4
69,10.97,10.01,10.12,0.3893,16.5
70,10.56,8.88,8.85,0.3901,16.4
71,10.83,9.12,9.70,0.3909,16.5
72,9.91,9.21,9.22,0.3916,16.5
73,9.73,8.73,8.61,0.3918,16.5
74,9.41,8.66,8.80,0.3919,16.4
75,8.84,8.29,8.37,0.3924,16.5
76,9.89,8.60,9.14,0.3932,16.4
77,10.03,8.57,8.86,0.3941,16.5
78,10.36,9.40,9.72,0.3952,16.5
79,10.22,9.51,9.44,0.3964,16.5
80,9.34,8.11,8.20,0.3978,16.4
81,9.39,8.74,8.87,0.3992,16.5
82,9.94,8.47,8.61,0.4004,16.5
83,9.81,8.93,9.01,0.4011,16.5
84,10.39,9.13,9.67,0.4022,16.5
85,10.41,9.25,9.50,0.4032,16.5
86,9.77,8.77,8.71,0.4041,16.5
87,9.42,8.70,8.94,0.4048,16.5
88,11.20,9.85,10.09,0.4053,16.5
89,10.11,8.34,8.36,0.4057,16.5
90,10.64,9.34,9.30,0.4064,16.5
91,10.14,8.66,9.30,0.4068,16.5
92,10.62,9.35,9.20,0.4068,16.5
93,8.97,8.07,8.27,0.4065,16.5
94,10.47,9.25,9.21,0.4062,16.5
95,9.95,8.67,9.11,0.4062,16.5
96,9.66,8.87,8.88,0.4059,16.5
97,9.55,8.74,8.87,0.4056,16.5
98,11.30,10.38,10.53,0.4051,16.5
99,10.20,8.97,9.48,0.4048,16.5
100,9.38,8.55,8.38,0.4046,16.5
101,9.94,9.00,8.83,0.4046,16.5
102,9.53,8.20,8.22,0.4046,16.5
103,11.67,10.58,10.39,0.4045,16.5
104,9.95,8.71,8.92,0.4039,16.5
105,9.20,8.40,8.66,0.4032,16.5
106,9.27,8.32,8.43,0.4026,16.5
107,11.39,9.90,10.19,0.4019,16.5
108,10.64,9.75,9.60,0.4009,16.5
109,10.36,9.34,9.64,0.4005,16.5
110,8.81,7.96,7.99,0.4004,16.5
111,10.25,9.36,9.28,0.4007,16.5
112,10.44,9.19,9.52,0.4007,16.5
113,10.97,10.39,10.41,0.4002,16.5
114,10.98,9.46,9.66,0.4001,16.5
115,10.30,8.91,9.77,0.4000,16.5
116,10.56,9.37,9.26,0.3999,16.5
117,10.67,9.38,9.62,0.3998,16.5
118,10.28,9.02,8.95,0.4006,16.5
119,9.00,8.18,8.06,0.4021,16.5
120,11.12,9.82,9.91,0.4035,16.5
121,11.67,10.43,10.91,0.4043,16.5
122,10.20,8.61,8.94,0.4049,16.5
123,10.59,9.61,9.63,0.4058,16.5
124,10.08,8.59,8.41,0.4064,16.5
125,11.52,9.98,10.30,0.4071,16.5
126,10.83,10.14,10.31,0.4076,16.5
127,10.27,9.52,9.80,0.4082,16.5
128,10.19,8.79,9.09,0.4089,16.5
129,11.77,10.17,10.21,0.4095,16.5
130,10.59,9.50,9.55,0.4101,16.5
131,10.33,9.15,9.25,0.4108,16.5
132,10.42,9.26,9.42,0.4115,16.5
133,9.97,9.33,9.55,0.4119,16.5
134,10.06,8.85,9.15,0.4122,16.5
135,10.61,9.51,9.68,0.4125,16.5
136,9.61,8.29,8.25,0.4132,16.5
137,10.78,9.59,9.67,0.4138,16.5
138,10.22,9.54,9.77,0.4149,16.5
139,10.52,9.11,9.40,0.4158,16.5
140,10.41,9.61,9.80,0.4163,16.5
141,8.64,7.86,7.99,0.4169,16.5
142,12.42,10.55,10.93,0.4180,16.5
143,11.48,10.39,10.40,0.4195,16.5
144,9.77,8.99,9.35,0.4206,16.5
145,9.06,8.43,8.42,0.4214,16.5
146,11.34,10.43,10.76,0.4227,16.5
147,10.05,9.20,9.12,0.4241,16.5
148,10.97,9.65,9.66,0.4257,16.5
149,10.23,9.10,9.59,0.4268,16.5
150,9.92,8.81,8.88,0.4274,16.5
151,11.11,9.64,9.67,0.4278,16.5
152,10.38,9.27,9.45,0.4284,16.5
153,9.92,9.31,9.43,0.4287,16.5
154,10.73,9.83,10.12,0.4288,16.5
155,10.75,9.60,9.86,0.4286,16.5
156,9.34,8.28,8.44,0.4288,16.5
157,10.75,9.40,9.20,0.4293,16.5
158,10.50,9.23,9.17,0.4296,16.5
159,11.12,9.90,10.27,0.4301,16.5
160,9.83,9.15,9.38,0.4307,16.5
161,11.80,10.40,10.34,0.4309,16.5
162,10.30,9.38,9.41,0.4317,16.5
163,9.42,8.63,8.73,0.4326,16.5
164,10.67,9.94,10.05,0.4336,16.5
165,10.77,9.96,10.18,0.4345,16.5
166,10.80,9.93,9.97,0.4350,16.5
167,10.97,9.78,9.82,0.4359,16.5
168,12.06,10.73,10.96,0.4363,16.5
169,10.72,9.55,9.93,0.4359,16.5
170,10.97,9.42,9.60,0.4356,16.5
171,11.03,10.07,10.45,0.4354,16.5
172,9.67,9.07,9.22,0.4358,16.5
173,11.44,10.32,10.66,0.4364,16.5
174,10.81,9.97,10.30,0.4371,16.5
175,10.02,9.61,9.61,0.4379,16.5
176,9.53,9.02,9.16,0.4387,16.5
177,9.53,8.91,8.90,0.4391,16.5
178,9.94,9.01,9.37,0.4391,16.5
179,9.92,9.33,9.51,0.4391,16.5
180,11.84,10.58,10.84,0.4392,16.5
181,10.50,9.42,9.48,0.4396,16.5
182,10.08,9.14,9.46,0.4398,16.5
183,10.39,9.36,9.34,0.4404,16.5
184,9.38,8.68,8.74,0.4408,16.5
185,9.83,8.98,9.22,0.4404,16.5
186,10.47,9.43,10.10,0.4403,16.5
187,11.91,10.87,10.76,0.4406,16.5
188,10.84,10.15,10.28,0.4407,16.5
189,9.70,8.81,8.91,0.4405,16.5
190,9.69,8.65,8.79,0.4405,16.5
191,10.86,10.10,10.22,0.4402,16.5
192,10.20,8.92,9.54,0.4401,16.5
193,10.73,9.71,10.06,0.4394,16.5
194,11.48,10.60,10.77,0.4385,16.5
195,10.47,9.31,9.51,0.4383,16.5
196,10.66,9.91,9.95,0.4386,16.5
197,11.53,10.43,11.01,0.4386,16.5
198,10.55,9.39,9.78,0.4388,16.5
199,11.84,11.12,11.38,0.4391,16.5
200,11.03,10.17,10.14,0.4389,16.5
201,10.42,9.44,9.79,0.4386,16.5
202,10.61,10.11,10.16,0.4388,16.5
203,10.45,9.31,9.44,0.4389,16.5
204,10.56,9.24,9.69,0.4391,16.5
205,10.38,9.78,10.02,0.4395,16.5
206,11.25,10.24,10.29,0.4398,16.5
207,11.00,9.99,10.31,0.4405,16.5
208,10.19,9.42,9.29,0.4409,16.5
209,9.67,8.89,8.87,0.4412,16.5
210,10.19,9.01,9.30,0.4416,16.5
211,9.72,8.97,9.14,0.4419,16.5
212,10.34,8.81,8.87,0.4422,16.5
213,10.48,9.33,9.42,0.4425,16.5
214,10.55,9.09,9.52,0.4429,16.5
215,10.16,8.88,9.00,0.4433,16.5
216,10.61,9.66,9.63,0.4441,16.5
217,9.94,9.23,9.30,0.4447,16.5
218,10.47,9.56,9.79,0.4455,16.5
219,10.61,9.39,9.62,0.4459,16.5
220,11.89,10.75,10.83,0.4457,16.5
221,11.05,9.76,9.83,0.4457,16.5
222,9.80,8.84,8.92,0.4461,16.5
223,10.95,9.81,10.27,0.4467,16.5
224,11.23,10.00,10.12,0.4478,16.5
225,11.00,9.88,10.14,0.4491,16.5
226,9.61,8.47,8.75,0.4502,16.5
227,9.44,8.47,8.61,0.4512,16.5
228,10.73,9.39,9.70,0.4525,16.5
229,9.78,8.69,8.91,0.4538,16.5
230,12.02,11.04,11.44,0.4551,16.5
231,11.45,10.01,9.59,0.4559,16.5
232,10.84,10.04,10.27,0.4569,16.5
233,10.55,9.59,9.85,0.4570,16.5
234,10.50,9.28,9.44,0.4578,16.5
235,10.08,9.53,9.68,0.4583,16.5
236,10.02,9.16,9.23,0.4588,16.5
237,10.72,9.92,10.15,0.4594,16.5
238,10.50,9.75,10.01,0.4595,16.5
239,10.84,9.17,9.46,0.4598,16.7
240,9.42,8.36,8.66,0.4605,16.5
241,11.95,10.16,10.34,0.4610,16.5
242,10.34,9.05,9.58,0.4613,16.5
243,10.77,9.67,9.81,0.4615,16.5
244,9.69,8.94,8.95,0.4616,16.5
245,11.14,10.13,10.39,0.4615,16.5
246,10.17,9.46,9.48,0.4615,16.5
247,10.44,9.52,9.91,0.4613,16.5
248,10.06,9.52,9.67,0.4607,16.5
249,10.55,9.88,9.95,0.4601,16.5
250,10.36,9.58,9.73,0.4588,16.5
251,10.47,9.77,10.13,0.4577,16.5
252,11.62,10.55,10.67,0.4576,16.5
253,9.75,9.11,9.16,0.4573,16.5
254,11.33,10.77,10.83,0.4569,16.5
255,10.97,10.08,10.20,0.4562,16.5
256,11.42,10.06,10.06,0.4556,16.5
257,10.67,9.87,9.98,0.4549,16.5
258,11.56,10.35,10.77,0.4539,16.5
259,11.27,10.16,10.28,0.4530,16.5
260,9.16,8.27,8.34,0.4521,16.5
261,10.69,9.51,9.35,0.4520,16.5
262,10.72,9.52,9.60,0.4520,16.5
263,10.75,9.86,10.21,0.4518,16.5
264,10.31,9.47,9.55,0.4514,16.5
265,9.70,8.79,9.09,0.4516,16.5
266,10.25,9.29,9.28,0.4515,16.5
267,10.20,8.98,8.94,0.4509,16.5
268,10.19,9.46,9.48,0.4507,16.5
269,10.73,9.56,9.94,0.4502,16.5
270,10.22,9.42,9.58,0.4497,16.5
271,11.22,10.61,10.73,0.4489,16.5
272,10.62,9.98,10.20,0.4482,16.5
273,11.36,10.41,10.42,0.4478,16.5
274,9.83,9.17,9.30,0.4472,16.5
275,8.98,8.36,8.52,0.4471,16.5
276,9.67,8.94,9.28,0.4468,16.5
277,9.88,9.28,9.45,0.4471,16.5
278,11.33,10.19,10.40,0.4476,16.5
279,10.72,10.05,10.33,0.4482,16.5
280,11.59,10.99,11.23,0.4484,16.5
281,10.33,8.81,8.99,0.4492,16.5
282,10.84,10.09,10.27,0.4501,16.5
283,11.59,10.64,10.70,0.4509,16.5
284,10.34,9.79,9.90,0.4517,16.5
285,12.50,11.72,12.10,0.4521,16.5
286,11.08,10.01,10.00,0.4522,16.5
287,9.81,8.80,8.97,0.4524,16.5
288,10.75,10.23,10.47,0.4527,16.5
289,10.45,9.35,9.40,0.4528,16.5
290,10.70,9.99,9.94,0.4531,16.5
291,11.31,10.44,10.44,0.4533,16.5
292,10.86,10.07,10.23,0.4534,16.5
293,11.03,9.65,9.45,0.4528,16.5
294,10.05,9.46,9.59,0.4519,16.5
295,9.41,8.55,8.56,0.4509,16.5
296,10.34,9.71,9.91,0.4499,16.5
297,10.44,9.88,10.01,0.4491,16.5
298,9.78,8.79,8.91,0.4475,16.5
