iteration,mean_survival,mean_return,loss,mean_value,entropy,lr,eval_survival,jump_ratio,time_s
0,,,,,,1.0e-04,18.82,0.47,0.0
1,10.05,25.3594,10.3427,0.8379,0.4523,1.0e-04,,,3.1
2,9.76,25.4564,3.6659,4.9648,0.4178,1.0e-04,,,2.7
3,9.76,25.4727,4.4619,5.9039,0.4185,1.0e-04,,,2.7
4,10.01,25.4809,4.7857,5.9711,0.4167,1.0e-04,,,2.7
5,10.10,25.4748,4.7136,6.1709,0.4225,1.0e-04,,,2.7
6,9.61,25.4422,4.6687,5.9640,0.4262,1.0e-04,,,2.7
7,9.81,25.4851,4.5774,5.8328,0.4266,1.0e-04,,,2.7
8,9.81,25.4654,4.6549,5.9129,0.4217,1.0e-04,,,2.7
9,9.94,25.4064,4.5962,6.1121,0.4330,1.0e-04,,,2.7
10,9.78,25.4640,4.7208,5.9318,0.4301,1.0e-04,19.32,0.35,2.7
11,9.48,25.4647,4.5517,5.7949,0.4326,1.0e-04,,,2.7
12,10.09,25.4858,4.6213,6.1589,0.4230,1.0e-04,,,2.7
13,10.16,25.4730,4.8027,6.2303,0.4328,1.0e-04,,,2.7
14,10.02,25.4992,4.6672,6.2475,0.4238,1.0e-04,,,2.7
15,9.81,25.5389,4.7963,6.1891,0.4181,1.0e-04,,,2.7
16,9.91,25.5418,4.8091,6.0484,0.4163,1.0e-04,,,2.7
17,9.98,25.5249,4.5668,6.0885,0.4291,1.0e-04,,,2.7
18,10.16,25.5355,4.7877,6.2466,0.4177,1.0e-04,,,2.7
19,10.15,25.5065,4.7858,6.2329,0.4292,1.0e-04,,,2.6
20,9.96,25.4924,4.7300,6.1428,0.4325,1.0e-04,20.12,0.36,2.6
21,10.03,25.4612,4.7044,6.2366,0.4362,1.0e-04,,,2.6
22,10.19,25.4986,4.5603,6.2463,0.4346,1.0e-04,,,2.6
23,10.25,25.4623,4.8502,6.2972,0.4405,1.0e-04,,,2.6
24,10.12,25.4150,4.6949,6.1374,0.4481,1.0e-04,,,2.7
25,10.06,25.4688,4.6589,6.1666,0.4328,1.0e-04,,,2.6
26,10.11,25.4764,4.6252,6.2293,0.4327,1.0e-04,,,2.6
27,10.09,25.4839,4.7801,6.2869,0.4408,1.0e-04,,,2.6
28,10.00,25.4669,4.6876,6.2305,0.4415,1.0e-04,,,2.6
29,10.17,25.4415,4.7308,6.2043,0.4385,1.0e-04,,,2.6
