iteration,mean_survival,mean_return,loss,mean_value,entropy,lr,eval_survival,jump_ratio,time_s
1,12.48,9.4727,34.0747,0.3405,0.6923,1.0e-04,,,8.3
2,11.41,8.5645,25.3890,2.1694,0.6905,1.0e-04,,,6.6
3,11.93,9.0508,14.8069,6.7979,0.6903,1.0e-04,,,6.7
4,11.56,8.5645,13.0480,11.9030,0.6899,1.0e-04,,,6.6
5,11.44,8.4688,14.3176,12.9880,0.6927,1.0e-04,,,6.6
6,11.90,8.9316,15.4055,13.6632,0.6820,1.0e-04,,,6.7
7,12.46,9.4844,16.0662,14.1935,0.6703,1.0e-04,,,6.7
8,11.50,8.4629,15.2868,14.3973,0.6923,1.0e-04,,,6.7
9,12.18,9.1055,16.4059,14.3965,0.6820,1.0e-04,,,6.7
10,11.87,8.9102,15.5716,14.4130,0.6922,1.0e-04,11.65,1.00,6.7
11,11.90,8.8828,15.8050,14.3264,0.6852,1.0e-04,,,6.6
12,11.96,9.0059,15.3885,14.5023,0.6567,1.0e-04,,,6.7
13,11.80,8.8145,15.9780,14.3487,0.6527,1.0e-04,,,6.7
14,11.59,8.6230,14.9425,14.3370,0.6104,1.0e-04,,,6.7
15,11.78,8.9297,15.4962,14.3672,0.6160,1.0e-04,,,6.7
16,11.53,8.6504,15.7822,14.3529,0.6499,1.0e-04,,,6.7
17,12.18,9.1523,15.6089,14.2489,0.6834,1.0e-04,,,6.7
18,11.60,8.6406,15.3239,14.2808,0.6920,1.0e-04,,,6.7
19,12.41,9.3398,15.9229,14.3920,0.6925,1.0e-04,,,6.7
20,11.41,8.4336,15.2417,14.3339,0.6923,1.0e-04,11.65,1.00,6.7
21,11.46,8.4648,15.5302,14.2427,0.6865,1.0e-04,,,6.6
22,12.58,9.4980,15.6635,14.2519,0.6716,1.0e-04,,,6.7
23,12.75,9.6836,15.5902,14.3362,0.6557,1.0e-04,,,6.7
24,12.71,9.6484,15.9520,14.2163,0.6792,1.0e-04,,,6.7
25,10.93,8.0195,14.5691,14.1979,0.6792,1.0e-04,,,6.6
26,11.62,8.7715,15.1713,14.1782,0.6724,1.0e-04,,,6.7
27,10.85,7.9375,15.1914,14.1582,0.6384,1.0e-04,,,6.6
28,11.91,8.9727,14.7304,14.1044,0.6471,1.0e-04,,,6.7
29,11.78,8.8281,15.4543,14.1859,0.6789,1.0e-04,,,6.7
30,12.31,9.3457,15.2903,14.4189,0.6886,1.0e-04,12.24,0.69,6.7
31,11.66,8.7793,15.3569,14.2674,0.6928,1.0e-04,,,6.6
32,11.47,8.5098,15.0017,14.1079,0.6869,1.0e-04,,,6.7
33,12.13,9.2363,15.8908,14.4241,0.6647,1.0e-04,,,6.7
34,12.11,9.1953,15.5377,14.2660,0.6734,1.0e-04,,,6.7
35,11.75,8.8672,15.6174,14.3180,0.6891,1.0e-04,,,6.7
36,11.93,8.9512,15.3067,14.2511,0.6900,1.0e-04,,,6.7
37,11.93,9.0234,16.0825,14.3148,0.6920,1.0e-04,,,6.7
38,11.80,8.9004,15.2172,14.3137,0.6709,1.0e-04,,,6.7
39,11.21,8.3281,15.3508,14.3625,0.6629,1.0e-04,,,6.7
40,11.81,8.9531,14.5934,14.2296,0.6564,1.0e-04,11.65,1.00,6.7
41,11.41,8.4766,14.2475,14.1057,0.6787,1.0e-04,,,6.6
42,13.26,10.2480,15.7085,14.2904,0.6867,1.0e-04,,,6.7
43,11.46,8.5449,15.0801,14.2017,0.6913,1.0e-04,,,6.7
44,12.71,9.5840,14.9005,14.1498,0.6912,1.0e-04,,,6.7
45,11.53,8.6367,14.8430,14.2316,0.6807,1.0e-04,,,6.7
46,12.79,9.7695,15.1931,14.3875,0.6835,1.0e-04,,,6.7
47,11.58,8.7227,15.5284,14.1981,0.6888,1.0e-04,,,6.7
48,12.51,9.5566,15.1762,14.2282,0.6756,1.0e-04,,,6.7
49,12.06,9.0195,14.5597,14.2326,0.6885,1.0e-04,,,6.6
50,11.26,8.4023,14.8310,14.2208,0.6864,1.0e-04,11.65,1.00,6.6
51,11.13,8.2637,14.9980,14.2562,0.6823,1.0e-04,,,6.6
52,11.33,8.3848,15.0416,14.0509,0.6736,1.0e-04,,,6.7
