epoch,train_recon,train_slow,train_uniform,val_recon,lr,time_s
1,24.890446,0.201929,-0.976966,11.345721,1.0e-03,142.7
2,9.725365,0.274951,-1.719262,7.246792,1.0e-03,95.0
3,6.601145,0.366844,-3.182251,5.673414,1.0e-03,95.0
4,5.399549,0.387622,-3.268708,4.748204,1.0e-03,94.8
5,4.754429,0.401746,-3.318956,4.269011,1.0e-03,95.1
6,4.309779,0.410143,-3.357584,3.911243,1.0e-03,94.7
7,3.956017,0.414233,-3.397055,3.725109,1.0e-03,94.9
8,3.684925,0.417611,-3.435394,3.425197,1.0e-03,94.9
9,3.453443,0.418277,-3.465196,3.256668,1.0e-03,94.7
10,3.270102,0.418730,-3.489412,3.050525,9.9e-04,94.8
11,3.105277,0.417785,-3.513429,2.896171,9.9e-04,94.7
12,2.972042,0.417283,-3.532476,2.791696,9.9e-04,94.7
13,2.839763,0.415698,-3.554384,2.840397,9.9e-04,94.9
14,2.745361,0.414457,-3.571146,2.606001,9.9e-04,94.8
15,2.649121,0.412220,-3.588400,2.495109,9.9e-04,95.0
16,2.569061,0.410885,-3.602262,2.404505,9.8e-04,94.8
17,2.489345,0.409451,-3.613820,2.328507,9.8e-04,95.0
18,2.428625,0.408401,-3.624540,2.433681,9.8e-04,94.8
19,2.367926,0.407020,-3.634593,2.256503,9.8e-04,94.8
20,2.321038,0.405867,-3.642294,2.236359,9.8e-04,94.9
21,2.277115,0.404496,-3.649985,2.294160,9.7e-04,94.9
22,2.235416,0.402644,-3.656459,2.160048,9.7e-04,94.9
23,2.194857,0.401288,-3.662592,2.175818,9.7e-04,94.8
24,2.163353,0.399954,-3.666632,2.166467,9.7e-04,94.9
25,2.126024,0.398682,-3.671855,2.192806,9.6e-04,95.0
26,2.094718,0.397893,-3.677382,2.061947,9.6e-04,94.9
27,2.072805,0.397579,-3.683344,2.037797,9.6e-04,94.9
28,2.044674,0.397003,-3.688255,2.029178,9.5e-04,94.9
29,2.017557,0.396463,-3.693316,2.030500,9.5e-04,94.6
30,2.002385,0.397015,-3.698127,1.938595,9.5e-04,94.8
31,1.981708,0.398109,-3.702569,2.177805,9.4e-04,94.7
32,1.967397,0.399367,-3.706904,1.920642,9.4e-04,95.0
33,1.953932,0.400347,-3.713161,1.945800,9.3e-04,94.8
34,1.941780,0.400943,-3.720746,1.884560,9.3e-04,94.8
35,1.931971,0.400424,-3.721653,1.927211,9.3e-04,95.0
36,1.919748,0.401026,-3.726457,1.930436,9.2e-04,94.6
37,1.910819,0.402071,-3.729516,1.916494,9.2e-04,95.0
38,1.905665,0.403548,-3.730984,1.934265,9.1e-04,95.0
39,1.901421,0.405503,-3.732776,1.925496,9.1e-04,95.1
40,1.892018,0.404707,-3.731850,1.915812,9.1e-04,94.5
41,1.881477,0.405892,-3.733944,1.846736,9.0e-04,94.4
42,1.877382,0.407863,-3.736877,1.990373,9.0e-04,94.4
43,1.870050,0.408475,-3.739747,1.853217,8.9e-04,94.4
44,1.859839,0.408807,-3.742625,1.805546,8.9e-04,94.4
45,1.854270,0.409064,-3.744026,1.965156,8.8e-04,94.8
46,1.840707,0.407686,-3.744212,1.856073,8.8e-04,94.6
47,1.830308,0.408780,-3.747181,1.869627,8.7e-04,94.5
48,1.826933,0.409362,-3.748886,1.811760,8.7e-04,94.4
49,1.819898,0.409522,-3.750608,1.820467,8.6e-04,94.5
50,1.803004,0.409377,-3.753509,1.791597,8.6e-04,94.6
51,1.798447,0.410073,-3.754482,1.859384,8.5e-04,94.3
52,1.789483,0.410276,-3.756911,1.860947,8.4e-04,94.6
53,1.784653,0.410937,-3.756937,1.939888,8.4e-04,94.4
54,1.776347,0.410622,-3.757865,1.811449,8.3e-04,94.4
55,1.761532,0.410513,-3.759579,1.736285,8.3e-04,94.6
56,1.757153,0.413229,-3.762372,1.728963,8.2e-04,94.7
57,1.756857,0.413894,-3.763830,1.824772,8.1e-04,94.5
58,1.743102,0.413072,-3.763664,1.768671,8.1e-04,94.2
59,1.740314,0.413471,-3.762289,1.742120,8.0e-04,94.4
60,1.731067,0.415210,-3.765479,1.750672,8.0e-04,94.4
61,1.728836,0.415743,-3.764369,1.746291,7.9e-04,94.4
62,1.720896,0.417059,-3.765452,1.714821,7.8e-04,94.4
63,1.717734,0.416466,-3.763020,1.676453,7.8e-04,94.5
