epoch,train_loss,train_recon,train_vq,val_loss,val_recon,val_vq,lr,time_s
1,34.903422,34.746416,0.157005,18.874491,18.549733,0.324757,2.0e-03,15.7
2,15.939217,15.382246,0.556971,15.088621,14.448433,0.640188,2.0e-03,13.5
3,13.099268,12.339725,0.759543,12.817138,12.019878,0.797259,2.0e-03,14.5
4,11.473406,10.645428,0.827979,11.251937,10.364126,0.887810,2.0e-03,13.7
5,10.318707,9.478147,0.840560,10.127670,9.251646,0.876024,2.0e-03,14.4
6,9.541001,8.718697,0.822304,9.363172,8.466342,0.896830,2.0e-03,14.3
7,8.860212,8.065373,0.794839,8.678615,7.924046,0.754569,2.0e-03,14.4
8,8.397025,7.622457,0.774568,8.357092,7.587541,0.769551,2.0e-03,15.1
9,8.008208,7.269528,0.738680,7.727064,7.068508,0.658556,2.0e-03,14.4
10,7.623446,6.900917,0.722528,7.699395,7.005469,0.693927,2.0e-03,14.9
11,7.358388,6.649369,0.709019,7.544995,6.814581,0.730414,2.0e-03,14.3
12,7.130850,6.442762,0.688088,7.135780,6.375534,0.760246,2.0e-03,13.7
13,6.903926,6.226409,0.677517,6.901192,6.201840,0.699352,2.0e-03,13.8
14,6.667569,6.012764,0.654804,6.615710,6.008076,0.607633,2.0e-03,13.6
15,6.501171,5.850682,0.650489,6.643240,5.987151,0.656089,2.0e-03,15.9
16,6.361794,5.725441,0.636353,6.249821,5.621734,0.628087,2.0e-03,14.1
17,6.198006,5.571979,0.626027,6.106170,5.535638,0.570532,2.0e-03,14.8
18,6.089379,5.473765,0.615615,6.280676,5.566922,0.713754,2.0e-03,16.1
19,5.981320,5.371002,0.610318,6.009751,5.376104,0.633647,2.0e-03,14.1
20,5.846746,5.251462,0.595283,5.825083,5.346714,0.478369,2.0e-03,13.9
21,5.747008,5.151644,0.595364,5.775118,5.181084,0.594034,1.9e-03,13.7
22,5.667908,5.080929,0.586979,5.689706,5.125930,0.563776,1.9e-03,15.7
23,5.579791,5.001144,0.578647,5.522641,4.978624,0.544018,1.9e-03,13.9
24,5.494471,4.918338,0.576133,5.571595,4.923564,0.648032,1.9e-03,14.0
25,5.442684,4.868360,0.574324,5.499460,4.880155,0.619306,1.9e-03,13.8
26,5.368646,4.798983,0.569663,5.377432,4.819776,0.557656,1.9e-03,14.1
27,5.305835,4.740041,0.565793,5.278309,4.728974,0.549335,1.9e-03,14.6
28,5.246341,4.678620,0.567721,5.239506,4.716847,0.522659,1.9e-03,14.0
29,5.180858,4.626902,0.553955,5.297744,4.729781,0.567963,1.9e-03,14.5
30,5.133011,4.580339,0.552672,5.178688,4.581899,0.596789,1.9e-03,14.3
31,5.090999,4.536965,0.554034,5.033811,4.521793,0.512018,1.9e-03,14.7
32,5.016498,4.470825,0.545672,5.169860,4.606123,0.563737,1.9e-03,14.8
33,5.004361,4.458887,0.545474,5.085646,4.527584,0.558062,1.9e-03,14.4
34,4.932946,4.396391,0.536555,5.062204,4.463350,0.598854,1.9e-03,15.0
35,4.903768,4.363276,0.540492,4.997325,4.481692,0.515633,1.9e-03,14.3
36,4.879715,4.337131,0.542584,4.917118,4.385963,0.531154,1.8e-03,14.5
37,4.828565,4.291973,0.536592,4.807665,4.262228,0.545437,1.8e-03,14.8
38,4.811359,4.274797,0.536562,4.931718,4.327947,0.603771,1.8e-03,14.5
39,4.753180,4.219569,0.533611,4.779063,4.250810,0.528253,1.8e-03,14.5
40,4.705980,4.179782,0.526198,4.653653,4.141816,0.511837,1.8e-03,14.2
41,4.664259,4.141379,0.522880,4.729990,4.196062,0.533928,1.8e-03,15.1
42,4.671635,4.144945,0.526689,4.652238,4.161959,0.490279,1.8e-03,14.8
43,4.599971,4.084311,0.515660,4.513552,4.042968,0.470584,1.8e-03,14.4
44,4.601431,4.081025,0.520407,4.600914,4.077714,0.523200,1.8e-03,14.9
45,4.563823,4.046335,0.517488,4.534715,4.050093,0.484623,1.8e-03,14.3
46,4.545910,4.023767,0.522143,4.529603,4.028206,0.501397,1.8e-03,14.7
47,4.510493,3.997707,0.512786,4.496358,3.998540,0.497818,1.7e-03,14.6
48,4.493263,3.979232,0.514031,4.439360,3.944447,0.494914,1.7e-03,14.7
49,4.449167,3.936844,0.512323,4.452842,3.929640,0.523202,1.7e-03,15.0
50,4.435661,3.924504,0.511157,4.544499,4.045512,0.498987,1.7e-03,14.9
51,4.432779,3.921504,0.511276,4.427693,3.897800,0.529893,1.7e-03,14.5
52,4.386250,3.881345,0.504906,4.361262,3.908267,0.452995,1.7e-03,14.3
53,4.352815,3.852352,0.500463,4.229036,3.782937,0.446099,1.7e-03,14.5
54,4.354086,3.850260,0.503825,4.331905,3.848300,0.483604,1.7e-03,14.5
55,4.319170,3.821471,0.497699,4.280641,3.808332,0.472309,1.7e-03,14.8
56,4.295047,3.795751,0.499296,4.323352,3.855659,0.467693,1.6e-03,14.9
57,4.275147,3.776303,0.498844,4.281521,3.792414,0.489107,1.6e-03,14.7
58,4.254925,3.756869,0.498055,4.307495,3.806305,0.501191,1.6e-03,14.3
59,4.239746,3.747279,0.492466,4.295366,3.845380,0.449986,1.6e-03,14.8
60,4.226816,3.734177,0.492639,4.239665,3.760617,0.479048,1.6e-03,15.0
61,4.209950,3.716811,0.493139,4.231890,3.739853,0.492036,1.6e-03,15.0
62,4.185880,3.696844,0.489035,4.175906,3.685626,0.490280,1.6e-03,14.4
63,4.157588,3.671585,0.486004,4.114402,3.657226,0.457176,1.6e-03,14.3
64,4.145738,3.660094,0.485645,4.190115,3.713539,0.476576,1.5e-03,14.9
65,4.124891,3.640592,0.484300,4.110326,3.640550,0.469776,1.5e-03,15.0
66,4.103677,3.625701,0.477976,4.141501,3.666827,0.474674,1.5e-03,14.6
67,4.100865,3.615969,0.484896,4.432176,3.969864,0.462311,1.5e-03,14.4
68,4.072306,3.595585,0.476721,4.298546,3.800888,0.497657,1.5e-03,14.0
69,4.052822,3.579543,0.473280,4.075242,3.618814,0.456428,1.5e-03,14.8
70,4.028678,3.557995,0.470682,4.026519,3.538352,0.488167,1.5e-03,14.5
71,4.063207,3.580840,0.482367,4.044679,3.571556,0.473124,1.4e-03,13.9
72,4.007452,3.531102,0.476350,3.994597,3.549238,0.445359,1.4e-03,14.6
73,4.028677,3.546540,0.482137,4.034778,3.551158,0.483621,1.4e-03,14.2
74,3.970781,3.500985,0.469797,4.078395,3.648332,0.430063,1.4e-03,14.6
75,3.981489,3.508316,0.473174,4.085823,3.593648,0.492175,1.4e-03,14.4
