epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,train_cpc,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,val_cpc,gap,lr,time_s
1,6.799713,6.575675,0.0037,0.0000,0.0000,0.0000,2.2404,6.571592,6.449915,0.0046,0.0000,0.0000,0.0000,1.2168,-0.2281,4.2e-04,140.5
2,5.017557,4.831841,0.0661,0.0612,0.0017,0.0033,1.8572,3.905096,3.818045,0.1423,0.0000,0.0000,0.0000,0.8705,-1.1125,8.1e-04,101.5
3,3.824586,3.733018,0.1451,0.1171,0.0088,0.0164,0.9157,3.388153,3.337920,0.1862,0.0000,0.0000,0.0000,0.5023,-0.4364,1.2e-03,102.2
4,3.452512,3.384653,0.1741,0.5160,0.0102,0.0199,0.6786,3.244808,3.193146,0.2009,0.1860,0.0397,0.0654,0.5166,-0.2077,1.6e-03,101.5
5,3.276690,3.217661,0.1883,0.5631,0.1444,0.2299,0.5903,3.090817,3.049785,0.2198,0.2027,0.3770,0.2636,0.4103,-0.1859,2.0e-03,102.1
6,3.164340,3.109226,0.1996,0.6070,0.2623,0.3663,0.5511,3.078828,3.038385,0.2211,0.2495,0.5293,0.3391,0.4044,-0.0855,2.0e-03,102.0
7,3.064655,3.017589,0.2126,0.5846,0.3806,0.4610,0.4707,2.951343,2.917983,0.2388,0.3208,0.4529,0.3756,0.3336,-0.1133,2.0e-03,101.6
8,3.014533,2.968853,0.2197,0.6841,0.3995,0.5044,0.4568,2.931499,2.893568,0.2419,0.3742,0.4626,0.4138,0.3793,-0.0830,2.0e-03,102.1
9,2.952793,2.908074,0.2274,0.7023,0.4107,0.5183,0.4472,2.952134,2.915674,0.2368,0.4396,0.4144,0.4266,0.3646,-0.0007,2.0e-03,101.6
10,2.912477,2.869781,0.2333,0.7010,0.4600,0.5555,0.4270,2.911217,2.879071,0.2430,0.4095,0.4420,0.4251,0.3215,-0.0013,2.0e-03,102.0
11,2.881816,2.840622,0.2360,0.4466,0.4575,0.4520,0.4119,2.834591,2.801623,0.2583,0.2848,0.4805,0.3576,0.3297,-0.0472,2.0e-03,101.6
12,2.856776,2.817684,0.2407,0.3284,0.6297,0.4317,0.3909,2.894133,2.861865,0.2449,0.4943,0.4270,0.4582,0.3227,0.0374,2.0e-03,102.1
13,2.849001,2.809507,0.2409,0.3760,0.6754,0.4831,0.3949,2.792109,2.762358,0.2631,0.4852,0.5385,0.5105,0.2975,-0.0569,2.0e-03,101.6
14,2.798168,2.759668,0.2511,0.4090,0.6922,0.5142,0.3850,2.767502,2.737238,0.2678,0.5240,0.5580,0.5405,0.3026,-0.0307,2.0e-03,102.1
15,2.779621,2.741570,0.2527,0.4263,0.7213,0.5359,0.3805,2.820975,2.787983,0.2563,0.5346,0.5868,0.5595,0.3299,0.0414,2.0e-03,101.6
