epoch,train_loss,train_acc,val_loss,val_acc,lr,time_s
1,0.590679,0.7691,0.500531,0.8420,5.0e-04,0.8
2,0.565265,0.7852,0.861504,0.5016,5.0e-04,0.8
3,0.549568,0.7939,0.828368,0.7380,5.0e-04,0.8
4,0.478480,0.8425,0.401934,0.8828,4.9e-04,0.7
5,0.452850,0.8577,0.435897,0.8600,4.9e-04,0.8
6,0.451015,0.8588,0.533329,0.8313,4.8e-04,0.8
7,0.463557,0.8489,0.540719,0.8340,4.8e-04,0.8
8,0.420953,0.8761,0.398871,0.8835,4.7e-04,0.8
9,0.410012,0.8819,0.433491,0.8775,4.6e-04,0.8
10,0.442167,0.8615,0.385611,0.8977,4.5e-04,0.8
11,0.428366,0.8684,0.386342,0.8963,4.4e-04,0.8
12,0.414864,0.8770,0.382524,0.8961,4.3e-04,0.8
13,0.415967,0.8741,0.366908,0.9001,4.2e-04,0.8
14,0.416950,0.8741,0.385940,0.8998,4.1e-04,0.7
15,0.395392,0.8858,0.494658,0.8552,4.0e-04,0.8
16,0.390848,0.8862,0.396835,0.8903,3.9e-04,0.8
17,0.386404,0.8863,0.359245,0.8985,3.7e-04,0.7
18,0.383326,0.8883,0.411308,0.8608,3.6e-04,0.8
19,0.379975,0.8888,0.362863,0.9006,3.4e-04,0.8
20,0.374887,0.8906,0.346172,0.9011,3.3e-04,0.7
21,0.369521,0.8916,0.353803,0.9007,3.1e-04,0.7
22,0.360521,0.8950,0.393895,0.8706,3.0e-04,0.8
23,0.358233,0.8949,0.345108,0.8959,2.8e-04,0.8
24,0.354082,0.8961,0.381751,0.8658,2.7e-04,0.8
25,0.353890,0.8952,0.335024,0.9018,2.5e-04,0.8
26,0.349010,0.8962,0.342691,0.8956,2.4e-04,0.7
27,0.346766,0.8972,0.334740,0.9012,2.2e-04,0.8
28,0.344761,0.8971,0.335331,0.9026,2.1e-04,0.8
29,0.342170,0.8969,0.359521,0.8842,1.9e-04,0.8
30,0.340432,0.8977,0.328538,0.9022,1.8e-04,0.8
31,0.338365,0.8980,0.333442,0.9003,1.6e-04,0.7
32,0.337069,0.8978,0.343520,0.8974,1.5e-04,0.8
33,0.336824,0.8981,0.333815,0.9016,1.3e-04,0.7
34,0.332598,0.8991,0.326363,0.9022,1.2e-04,0.7
35,0.329149,0.8993,0.326639,0.8994,1.1e-04,0.7
36,0.327662,0.8994,0.322606,0.9015,9.5e-05,0.8
37,0.326966,0.8994,0.327574,0.9021,8.3e-05,0.8
38,0.325959,0.8998,0.324411,0.9014,7.2e-05,0.8
39,0.324068,0.9001,0.328560,0.9011,6.2e-05,0.8
40,0.322853,0.8998,0.320684,0.8993,5.2e-05,0.9
41,0.321265,0.9003,0.317173,0.9026,4.4e-05,0.8
42,0.319686,0.9006,0.319666,0.9019,3.6e-05,0.8
43,0.318987,0.9005,0.317666,0.9013,2.9e-05,0.8
44,0.317940,0.9008,0.317250,0.9005,2.2e-05,0.9
45,0.316547,0.9010,0.315779,0.9025,1.7e-05,0.7
46,0.315744,0.9011,0.315621,0.9015,1.3e-05,0.7
47,0.315134,0.9011,0.315337,0.9024,9.4e-06,0.7
48,0.314524,0.9011,0.315365,0.9012,7.0e-06,0.8
49,0.313967,0.9010,0.314851,0.9016,5.5e-06,0.8
50,0.313886,0.9013,0.314902,0.9014,5.0e-06,0.8
