iteration,mean_survival,mean_return,loss,mean_value,entropy,lr,eval_survival,jump_ratio,time_s
0,,,,,,1.0e-05,15.38,0.38,0.0
1,17.25,12.1204,25.0728,0.0989,0.2207,1.2e-05,,,23.6
2,15.87,10.9811,23.1214,0.3731,0.2697,1.4e-05,,,23.3
3,16.06,11.0148,21.4681,0.7093,0.3584,1.5e-05,,,23.3
4,16.13,10.9143,19.7824,1.1246,0.4278,1.7e-05,,,23.3
5,16.60,11.2822,18.3259,1.6298,0.4951,1.9e-05,,,23.4
6,16.68,11.2811,16.5837,2.2159,0.5562,2.1e-05,,,23.3
7,16.94,11.4283,14.9808,2.8667,0.6014,2.3e-05,,,23.3
8,17.20,11.6431,13.6884,3.5758,0.6338,2.4e-05,,,23.4
9,17.17,11.5965,12.2403,4.3331,0.6547,2.6e-05,,,23.3
10,17.18,11.6627,11.2840,5.1439,0.6607,2.8e-05,13.85,0.15,23.3
11,17.10,11.8159,10.6428,6.0145,0.6488,3.0e-05,,,23.3
12,17.17,12.0845,10.4165,6.9520,0.6105,3.2e-05,,,23.3
13,16.63,11.8601,10.3196,7.9435,0.5486,3.3e-05,,,23.3
14,16.39,11.8405,10.4573,8.9904,0.4846,3.5e-05,,,23.3
15,16.03,11.5649,10.5946,10.0361,0.4717,3.7e-05,,,23.4
16,16.20,11.6506,11.1488,10.6803,0.5023,3.9e-05,,,23.3
17,16.10,11.7507,11.1215,10.7281,0.3998,4.1e-05,,,23.3
18,16.29,11.8903,11.5042,10.8992,0.3962,4.2e-05,,,23.3
19,16.69,12.1990,11.2859,10.7966,0.3993,4.4e-05,,,23.3
20,17.01,12.2078,10.8266,10.5232,0.3810,4.6e-05,15.01,0.26,23.3
21,17.01,12.0326,10.5314,10.4485,0.3589,4.8e-05,,,23.4
22,16.67,11.7393,9.9672,10.2269,0.3499,5.0e-05,,,23.3
23,16.83,12.0085,9.9640,10.1292,0.3344,5.1e-05,,,23.4
24,16.07,11.5474,10.0853,10.4208,0.3115,5.3e-05,,,23.3
25,16.53,11.7584,10.3095,10.5163,0.3318,5.5e-05,,,23.3
26,16.69,11.6503,9.8988,10.3041,0.3641,5.7e-05,,,23.3
27,16.71,11.9890,10.0528,10.3690,0.3275,5.9e-05,,,23.3
28,16.21,11.7269,10.2635,10.5684,0.3073,6.0e-05,,,23.3
29,16.52,11.8484,9.5798,10.0840,0.3148,6.2e-05,,,23.3
