epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,train_cpc,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,val_cpc,gap,lr,time_s,fsq_train_total,train_recon,fsq_val_total,val_recon,fsq_gap,encoder_grad_rms,transformer_grad_rms,fsq_lr,train_code_usage_pct,train_code_ppl_pct,val_code_usage_pct,val_code_ppl_pct
1,9.471489,3.427752,0.3617,0.0000,0.0000,0.0000,6.0437,8.515205,3.218398,0.2877,0.0000,0.0000,0.0000,5.2968,-0.9563,2.1e-04,340.6,780.907141,780.907141,421.685350,421.685350,-359.2218,1.446962e+03,1.446962e+03,,100.00,5.02,38.40,5.02
2,6.934427,2.126696,0.3518,0.0000,0.0000,0.0000,4.8077,5.218689,1.780320,0.3688,0.0000,0.0000,0.0000,3.4384,-1.7157,4.1e-04,89.5,40.224641,40.224641,19.360129,19.360129,-20.8645,5.084692e+02,5.084692e+02,,88.80,7.66,63.36,7.98
3,5.258255,1.955056,0.3647,0.0000,0.0000,0.0000,3.3032,5.404659,1.952397,0.3800,0.0000,0.0000,0.0000,3.4523,0.1464,6.0e-04,88.4,18.732836,18.732836,16.126676,16.126676,-2.6062,9.328027e+01,9.328027e+01,,94.72,17.30,63.04,17.82
4,5.471468,2.389238,0.3173,0.0577,0.0004,0.0008,3.0822,6.160158,2.636368,0.2916,0.0000,0.0000,0.0000,3.5238,0.6887,8.0e-04,88.7,14.853889,14.853889,11.469211,11.469211,-3.3847,7.968007e+01,7.968007e+01,,93.28,31.64,85.28,40.78
5,5.752331,2.784352,0.2714,0.1203,0.0011,0.0022,2.9680,5.939018,2.679374,0.3029,0.0811,0.0073,0.0134,3.2596,0.1867,1.0e-03,88.6,11.400004,11.400004,9.250127,9.250127,-2.1499,6.900275e+01,6.900275e+01,,100.00,56.77,100.00,57.59
6,5.554093,2.815464,0.2731,0.1410,0.0022,0.0043,2.7386,5.346760,2.590381,0.3168,0.0000,0.0000,0.0000,2.7564,-0.2073,1.0e-03,88.7,9.299879,9.299879,7.816868,7.816868,-1.4830,5.529724e+01,5.529724e+01,,100.00,66.75,100.00,65.32
7,5.289725,2.752826,0.2848,0.3235,0.0007,0.0015,2.5369,5.421665,2.550846,0.3277,0.0000,0.0000,0.0000,2.8708,0.1319,1.0e-03,88.6,7.781448,7.781448,6.662792,6.662792,-1.1187,4.529455e+01,4.529455e+01,,100.00,71.12,100.00,70.20
8,5.067544,2.656221,0.3004,0.2975,0.0057,0.0112,2.4113,5.086409,2.368528,0.3534,0.4615,0.0146,0.0284,2.7179,0.0189,1.0e-03,88.8,6.897298,6.897298,6.119206,6.119206,-0.7781,3.616698e+01,3.616698e+01,,100.00,74.22,100.00,63.69
9,4.881434,2.594274,0.3109,0.4196,0.0206,0.0392,2.2872,5.183038,2.480488,0.3327,0.6667,0.0098,0.0192,2.7025,0.3016,1.0e-03,88.7,6.498486,6.498486,6.303120,6.303120,-0.1954,3.661233e+01,3.661233e+01,,100.00,75.56,100.00,70.28
10,4.741814,2.546464,0.3189,0.4796,0.0506,0.0916,2.1954,5.630105,2.473095,0.3419,0.6500,0.0317,0.0605,3.1570,0.8883,1.0e-03,88.8,6.101279,6.101279,5.806260,5.806260,-0.2950,3.077194e+01,3.077194e+01,,100.00,76.98,100.00,78.81
11,4.652294,2.511134,0.3254,0.5451,0.0764,0.1340,2.1412,4.603953,2.375347,0.3511,0.7586,0.0537,0.1002,2.2286,-0.0483,1.0e-03,88.7,5.863924,5.863924,5.425729,5.425729,-0.4382,2.735059e+01,2.735059e+01,,100.00,76.68,100.00,74.43
