epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,gap,lr,time_s,fsq_train_total,train_recon,fsq_val_total,val_recon,fsq_gap,encoder_grad_rms,transformer_grad_rms,fsq_lr,train_code_usage_pct,train_code_ppl_pct,val_code_usage_pct,val_code_ppl_pct
1,3.164251,3.164251,0.4582,0.0000,0.0000,0.0000,2.288543,2.288543,0.5364,0.0000,0.0000,0.0000,-0.8757,2.1e-04,191.2,1558.121572,1558.121572,1209.220467,1209.220467,-348.9011,8.968846e+02,8.968846e+02,,91.04,3.78,28.48,2.21
2,2.055198,2.055198,0.4292,0.0000,0.0000,0.0000,1.828731,1.828731,0.4539,0.0000,0.0000,0.0000,-0.2265,4.1e-04,95.6,219.417518,219.417518,125.349539,125.349539,-94.0680,2.708709e+02,2.708709e+02,,90.88,10.33,78.72,15.77
3,2.220829,2.220829,0.3830,0.0526,0.0005,0.0011,2.157851,2.157851,0.4165,0.0000,0.0000,0.0000,-0.0630,6.0e-04,94.8,115.093723,115.093723,101.965755,101.965755,-13.1280,1.377397e+02,1.377397e+02,,97.12,36.03,92.32,45.25
4,2.406783,2.406783,0.3629,0.0455,0.0001,0.0001,2.194868,2.194868,0.4013,0.0000,0.0000,0.0000,-0.2119,8.0e-04,94.8,99.364322,99.364322,91.497897,91.497897,-7.8664,1.482093e+02,1.482093e+02,,100.00,58.11,100.00,52.93
5,2.560704,2.560704,0.3343,0.2000,0.0001,0.0001,2.287603,2.287603,0.3838,0.0000,0.0000,0.0000,-0.2731,1.0e-03,95.3,90.409935,90.409935,82.944159,82.944159,-7.4658,1.435201e+02,1.435201e+02,,100.00,62.11,100.00,55.98
6,2.491010,2.491010,0.3351,0.0000,0.0000,0.0000,2.226332,2.226332,0.3811,0.0000,0.0000,0.0000,-0.2647,1.0e-03,95.0,82.635982,82.635982,77.174453,77.174453,-5.4615,1.150884e+02,1.150884e+02,,100.00,62.58,100.00,57.91
7,2.470002,2.470002,0.3308,0.3226,0.0020,0.0040,2.231573,2.231573,0.3740,0.2308,0.0146,0.0275,-0.2384,1.0e-03,96.1,77.631920,77.631920,73.539673,73.539673,-4.0922,1.220422e+02,1.220422e+02,,100.00,64.04,100.00,59.39
8,2.398451,2.398451,0.3390,0.4665,0.0199,0.0382,2.250411,2.250411,0.3643,0.4062,0.0317,0.0588,-0.1480,1.0e-03,94.9,73.571534,73.571534,71.926899,71.926899,-1.6446,1.019734e+02,1.019734e+02,,100.00,65.70,100.00,62.98
9,2.360520,2.360520,0.3423,0.4703,0.0301,0.0565,2.257497,2.257497,0.3597,0.3378,0.1220,0.1792,-0.1030,1.0e-03,95.0,70.637551,70.637551,67.618187,67.618187,-3.0194,9.575743e+01,9.575743e+01,,100.00,66.69,100.00,67.04
10,2.323890,2.323890,0.3466,0.5399,0.0418,0.0776,2.203541,2.203541,0.3693,0.6667,0.0293,0.0561,-0.1203,1.0e-03,96.6,66.872459,66.872459,66.698814,66.698814,-0.1736,8.889167e+01,8.889167e+01,,100.00,67.60,100.00,66.84
11,2.291631,2.291631,0.3516,0.5877,0.0900,0.1561,2.197193,2.197193,0.3611,0.5778,0.0634,0.1143,-0.0944,1.0e-03,96.0,63.967409,63.967409,62.935898,62.935898,-1.0315,8.523736e+01,8.523736e+01,,100.00,68.32,100.00,66.78
12,2.281115,2.281115,0.3517,0.5823,0.1719,0.2654,2.022025,2.022025,0.4021,0.4424,0.2902,0.3505,-0.2591,1.0e-03,95.9,61.893019,61.893019,58.379048,58.379048,-3.5140,8.084812e+01,8.084812e+01,,100.00,69.22,100.00,63.39
13,2.248866,2.248866,0.3572,0.6467,0.2624,0.3733,2.098081,2.098081,0.3807,0.3768,0.5073,0.4324,-0.1508,1.0e-03,95.0,59.827310,59.827310,58.113876,58.113876,-1.7134,8.104530e+01,8.104530e+01,,100.00,69.83,100.00,68.28
14,2.238063,2.238063,0.3582,0.6750,0.3387,0.4511,2.052150,2.052150,0.3937,0.3770,0.5756,0.4556,-0.1859,1.0e-03,94.9,58.305558,58.305558,56.668114,56.668114,-1.6374,7.516830e+01,7.516830e+01,,100.00,70.69,100.00,68.61
15,2.257877,2.257877,0.3531,0.6855,0.3748,0.4846,2.023272,2.023272,0.3966,0.5732,0.4488,0.5034,-0.2346,9.9e-04,95.3,57.667295,57.667295,55.013512,55.013512,-2.6538,7.396984e+01,7.396984e+01,,100.00,71.53,100.00,65.30
16,2.222519,2.222519,0.3603,0.7083,0.4157,0.5240,2.111495,2.111495,0.3730,0.5974,0.4488,0.5125,-0.1110,9.9e-04,95.9,55.610788,55.610788,54.606305,54.606305,-1.0045,6.554094e+01,6.554094e+01,,100.00,72.05,100.00,67.29
17,2.224591,2.224591,0.3591,0.7242,0.4520,0.5566,2.035039,2.035039,0.3941,0.4539,0.6610,0.5382,-0.1896,9.9e-04,95.9,54.547812,54.547812,51.939406,51.939406,-2.6084,6.752395e+01,6.752395e+01,,100.00,72.81,100.00,70.65
18,2.228825,2.228825,0.3575,0.7271,0.4675,0.5691,2.142821,2.142821,0.3673,0.5577,0.5537,0.5557,-0.0860,9.9e-04,95.9,53.763934,53.763934,51.830026,51.830026,-1.9339,6.263068e+01,6.263068e+01,,100.00,73.32,100.00,70.63
19,2.226879,2.226879,0.3576,0.7286,0.4756,0.5755,2.093719,2.093719,0.3785,0.5614,0.5683,0.5648,-0.1332,9.9e-04,96.1,52.899176,52.899176,53.017956,53.017956,0.1188,6.280693e+01,6.280693e+01,,100.00,74.08,100.00,68.10
20,2.224547,2.224547,0.3579,0.7461,0.4945,0.5948,2.022001,2.022001,0.3959,0.5295,0.6341,0.5771,-0.2025,9.9e-04,96.0,52.288652,52.288652,50.672218,50.672218,-1.6164,6.346707e+01,6.346707e+01,,100.00,74.34,100.00,71.52
21,2.226936,2.226936,0.3575,0.7422,0.5043,0.6005,2.057946,2.057946,0.3900,0.4550,0.7024,0.5523,-0.1690,9.8e-04,96.7,51.672695,51.672695,51.425417,51.425417,-0.2473,6.012652e+01,6.012652e+01,,100.00,74.98,100.00,69.46
22,2.224655,2.224655,0.3573,0.7423,0.5094,0.6042,2.103842,2.103842,0.3775,0.5967,0.5268,0.5596,-0.1208,9.8e-04,96.0,50.993103,50.993103,51.823104,51.823104,0.8300,6.182822e+01,6.182822e+01,,100.00,75.14,100.00,69.51
23,2.240309,2.240309,0.3542,0.7496,0.5208,0.6146,2.149810,2.149810,0.3655,0.5909,0.5390,0.5638,-0.0905,9.8e-04,96.1,50.338958,50.338958,49.159862,49.159862,-1.1791,5.884824e+01,5.884824e+01,,100.00,76.00,100.00,73.80
24,2.222137,2.222137,0.3582,0.7677,0.5411,0.6348,2.110262,2.110262,0.3826,0.5117,0.6951,0.5895,-0.1119,9.8e-04,96.0,49.637355,49.637355,50.194420,50.194420,0.5571,5.799638e+01,5.799638e+01,,100.00,76.40,100.00,70.26
25,2.238536,2.238536,0.3548,0.7665,0.5317,0.6279,2.111143,2.111143,0.3771,0.5522,0.6195,0.5839,-0.1274,9.8e-04,96.0,49.149947,49.149947,47.634272,47.634272,-1.5157,5.665605e+01,5.665605e+01,,100.00,77.09,100.00,71.65
26,2.250333,2.250333,0.3528,0.7666,0.5291,0.6261,2.120009,2.120009,0.3737,0.6113,0.5829,0.5968,-0.1303,9.7e-04,96.6,48.988750,48.988750,47.944160,47.944160,-1.0446,5.672187e+01,5.672187e+01,,100.00,77.45,100.00,74.47
27,2.244755,2.244755,0.3546,0.7715,0.5366,0.6330,2.185059,2.185059,0.3637,0.6302,0.5195,0.5695,-0.0597,9.7e-04,96.0,48.531487,48.531487,49.471629,49.471629,0.9401,5.440864e+01,5.440864e+01,,100.00,77.86,100.00,68.07
28,2.249170,2.249170,0.3535,0.7716,0.5482,0.6410,2.100519,2.100519,0.3813,0.6348,0.5512,0.5901,-0.1487,9.7e-04,96.1,48.081067,48.081067,46.550132,46.550132,-1.5309,5.417949e+01,5.417949e+01,,100.00,78.16,100.00,76.56
29,2.258154,2.258154,0.3519,0.7733,0.5403,0.6361,2.285177,2.285177,0.3561,0.5911,0.6488,0.6186,0.0270,9.6e-04,96.0,47.912073,47.912073,55.660987,55.660987,7.7489,5.201797e+01,5.201797e+01,,100.00,78.51,100.00,66.27
30,2.264777,2.264777,0.3506,0.7734,0.5564,0.6472,2.128618,2.128618,0.3726,0.5125,0.7024,0.5926,-0.1362,9.6e-04,96.5,47.426442,47.426442,45.745528,45.745528,-1.6809,5.171230e+01,5.171230e+01,,100.00,78.93,100.00,73.66
31,2.244214,2.244214,0.3548,0.7691,0.5526,0.6431,2.130236,2.130236,0.3726,0.6884,0.4902,0.5726,-0.1140,9.6e-04,96.0,47.016551,47.016551,45.460592,45.460592,-1.5560,5.309935e+01,5.309935e+01,,100.00,78.86,100.00,76.52
32,2.248035,2.248035,0.3544,0.7699,0.5527,0.6434,2.249759,2.249759,0.3548,0.5317,0.6951,0.6025,0.0017,9.6e-04,96.0,46.519749,46.519749,47.560534,47.560534,1.0408,4.815794e+01,4.815794e+01,,100.00,79.08,100.00,75.31
33,2.246098,2.246098,0.3549,0.7777,0.5731,0.6599,2.229049,2.229049,0.3518,0.6457,0.5512,0.5947,-0.0170,9.5e-04,96.0,46.221733,46.221733,47.965567,47.965567,1.7438,5.020718e+01,5.020718e+01,,100.00,79.27,100.00,76.57
34,2.257444,2.257444,0.3522,0.7831,0.5621,0.6544,2.145809,2.145809,0.3720,0.4840,0.7390,0.5849,-0.1116,9.5e-04,96.0,46.094114,46.094114,46.119648,46.119648,0.0255,4.963232e+01,4.963232e+01,,100.00,79.45,100.00,74.70
