epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,train_cpc,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,val_cpc,gap,lr,time_s,fsq_train_total,train_recon,train_slow,train_unif,fsq_val_total,val_recon,val_slow,val_unif,fsq_gap,encoder_grad_rms,transformer_grad_rms,fsq_lr,gamma_0,gamma_1,gamma_2,gamma_3
1,2.240881,2.240881,0.5160,0.0000,0.0000,0.0000,0.0000,1.694651,1.694651,0.5661,0.0000,0.0000,0.0000,0.0000,-0.5462,8.3e-04,398.0,393.510392,393.530756,0.107075,-3.107168,47.278169,47.300679,0.099884,-3.249839,-346.2322,1.000000e+00,9.972057e-01,2.1e-04,0.020657,0.020371,0.022031,0.020142
2,1.893913,1.893913,0.4519,0.0278,0.0001,0.0001,0.0000,1.370042,1.370042,0.5345,0.0000,0.0000,0.0000,0.0000,-0.5239,1.6e-03,216.4,26.692533,26.683318,0.369923,-2.777734,23.692676,23.667641,0.552742,-3.023976,-2.9999,9.999999e-01,9.970779e-01,4.1e-04,0.516139,0.460550,0.439590,0.477870
3,1.535356,1.535356,0.4732,0.0000,0.0000,0.0000,0.0000,1.471545,1.471545,0.4778,0.0000,0.0000,0.0000,0.0000,-0.0638,2.4e-03,216.1,24.720346,24.676516,0.751623,-3.133176,23.369403,23.318761,0.818771,-3.123505,-1.3509,1.000000e+00,8.215394e-01,6.0e-04,1.269655,1.256505,0.560925,1.214595
4,1.694550,1.694550,0.4285,0.0000,0.0000,0.0000,0.0000,1.671746,1.671746,0.4339,0.0000,0.0000,0.0000,0.0000,-0.0228,3.2e-03,215.1,24.444920,24.384218,0.926456,-3.194406,22.901452,22.832816,1.004734,-3.183772,-1.5435,1.000000e+00,5.816635e-01,8.0e-04,1.401905,1.396572,0.707897,1.360872
5,1.862299,1.862299,0.3886,0.0000,0.0000,0.0000,0.0000,1.823756,1.823756,0.3889,0.0000,0.0000,0.0000,0.0000,-0.0385,4.0e-03,215.2,24.085745,24.007075,1.113167,-3.264709,22.415339,22.333611,1.145060,-3.277763,-1.6704,1.000000e+00,4.273363e-01,1.0e-03,1.457208,1.453197,0.769241,1.431200
6,1.998020,1.998020,0.3587,0.5122,0.0013,0.0025,0.0000,2.011731,2.011731,0.3544,0.2500,0.0024,0.0048,0.0000,0.0137,4.0e-03,215.8,23.587664,23.503400,1.170852,-3.282127,22.057555,21.974982,1.149917,-3.241865,-1.5301,1.000000e+00,3.290039e-01,1.0e-03,1.488721,1.487051,0.807932,1.474332
7,2.074684,2.074684,0.3447,0.4659,0.0069,0.0136,0.0000,2.255307,2.255307,0.3096,0.3333,0.0024,0.0048,0.0000,0.1806,4.0e-03,216.1,23.066676,22.982918,1.166235,-3.286459,21.877476,21.798902,1.110446,-3.247117,-1.1892,1.000000e+00,2.593374e-01,1.0e-03,1.508628,1.508419,0.833055,1.499307
8,2.134551,2.134551,0.3331,0.4931,0.0148,0.0288,0.0000,2.312021,2.312021,0.3045,0.2364,0.0317,0.0559,0.0000,0.1775,4.0e-03,215.1,22.545680,22.466565,1.120461,-3.293083,22.063973,21.985097,1.113620,-3.248625,-0.4817,1.000000e+00,2.247859e-01,1.0e-03,1.523071,1.524420,0.852644,1.516855
9,2.183539,2.183539,0.3271,0.4995,0.0276,0.0523,0.0000,2.166365,2.166365,0.3296,1.0000,0.0024,0.0049,0.0000,-0.0172,4.0e-03,216.0,21.955803,21.881045,1.078093,-3.305152,21.080643,21.010400,1.031413,-3.289787,-0.8752,1.000000e+00,1.896916e-01,1.0e-03,1.534102,1.537991,0.868870,1.531003
10,2.218903,2.218903,0.3228,0.5204,0.0367,0.0686,0.0000,2.199078,2.199078,0.3211,0.3750,0.0293,0.0543,0.0000,-0.0198,4.0e-03,215.6,21.468816,21.398128,1.038308,-3.314193,19.913205,19.848966,0.971656,-3.292636,-1.5556,1.000000e+00,1.720423e-01,1.0e-03,1.543781,1.551894,0.883754,1.542125
