epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,train_cpc,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,val_cpc,gap,lr,time_s,fsq_train_total,train_recon,train_unif,fsq_val_total,val_recon,val_unif,fsq_gap,encoder_grad_rms,transformer_grad_rms,fsq_lr,train_code_usage_pct,train_code_perplexity,val_code_usage_pct,val_code_perplexity
1,1.669162,1.669162,0.5076,0.0000,0.0000,0.0000,0.0000,0.880306,0.880306,0.6616,0.0000,0.0000,0.0000,0.0000,-0.7889,8.3e-04,487.3,378.759455,378.741718,1.773676e-02,49.413640,49.394456,1.918398e-02,-329.3458,1.000000e+00,9.993636e-01,2.1e-04,81.12,34.77,22.08,17.25
2,2.311948,2.311948,0.3446,0.0581,0.0002,0.0003,0.0000,1.544819,1.544819,0.5162,0.0000,0.0000,0.0000,0.0000,-0.7671,1.6e-03,360.2,22.326445,22.308742,1.770355e-02,19.655562,19.642281,1.328131e-02,-2.6709,1.000000e+00,9.452518e-01,4.1e-04,100.00,324.96,100.00,272.46
3,1.783826,1.783826,0.4604,0.0833,0.0000,0.0001,0.0000,1.475048,1.475048,0.5090,0.0000,0.0000,0.0000,0.0000,-0.3088,2.4e-03,359.8,19.291741,19.274735,1.700595e-02,18.001373,17.981497,1.987602e-02,-1.2904,1.000000e+00,5.653912e-01,6.0e-04,100.00,412.15,100.00,339.16
4,1.704078,1.704078,0.4923,0.0000,0.0000,0.0000,0.0000,1.444302,1.444302,0.5518,0.0000,0.0000,0.0000,0.0000,-0.2598,3.2e-03,359.0,19.119002,19.100608,1.839368e-02,18.465985,18.439908,2.607725e-02,-0.6530,1.000000e+00,3.337996e-01,8.0e-04,100.00,423.20,100.00,302.01
5,1.717475,1.717475,0.5016,0.0000,0.0000,0.0000,0.0000,1.536771,1.536771,0.5252,0.0000,0.0000,0.0000,0.0000,-0.1807,4.0e-03,360.6,18.559161,18.540111,1.905025e-02,16.841184,16.823465,1.771991e-02,-1.7180,9.999999e-01,2.278690e-01,1.0e-03,100.00,430.28,100.00,382.74
6,1.823521,1.823521,0.4702,0.0000,0.0000,0.0000,0.0000,1.409559,1.409559,0.5483,0.0000,0.0000,0.0000,0.0000,-0.4140,4.0e-03,359.1,17.788092,17.768848,1.924485e-02,17.025547,17.003421,2.212541e-02,-0.7625,9.999999e-01,1.817759e-01,1.0e-03,100.00,437.57,100.00,325.41
7,1.799200,1.799200,0.4668,1.0000,0.0000,0.0001,0.0000,1.603488,1.603488,0.4939,0.0000,0.0000,0.0000,0.0000,-0.1957,4.0e-03,359.6,16.944642,16.923803,2.083994e-02,15.766371,15.739514,2.685702e-02,-1.1783,9.999999e-01,1.301271e-01,1.0e-03,100.00,414.69,100.00,350.42
8,1.844819,1.844819,0.4490,0.0000,0.0000,0.0000,0.0000,1.642005,1.642005,0.4710,0.0000,0.0000,0.0000,0.0000,-0.2028,4.0e-03,360.3,16.323020,16.302897,2.012319e-02,16.009953,15.986039,2.391407e-02,-0.3131,9.999999e-01,1.201433e-01,1.0e-03,100.00,417.04,100.00,380.30
9,1.896652,1.896652,0.4321,0.3478,0.0003,0.0005,0.0000,1.686554,1.686554,0.4581,0.0000,0.0000,0.0000,0.0000,-0.2101,4.0e-03,358.6,15.535416,15.515108,2.030765e-02,14.085650,14.067046,1.860324e-02,-1.4498,9.999999e-01,1.136309e-01,1.0e-03,100.00,409.42,100.00,402.46
10,1.973034,1.973034,0.4092,0.3989,0.0025,0.0050,0.0000,1.830801,1.830801,0.4187,0.0000,0.0000,0.0000,0.0000,-0.1422,4.0e-03,359.3,14.064792,14.046241,1.855182e-02,12.543132,12.520692,2.244012e-02,-1.5217,9.999999e-01,1.120910e-01,1.0e-03,100.00,417.27,100.00,392.42
