epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,gap,lr,time_s,fsq_train_total,train_recon,train_unif,fsq_val_total,val_recon,val_unif,fsq_gap,encoder_grad_rms,transformer_grad_rms,fsq_lr,train_code_usage_pct,train_code_ppl_pct,val_code_usage_pct,val_code_ppl_pct
1,2.721399,2.721399,0.4222,0.0000,0.0000,0.0000,1.851861,1.851861,0.5731,0.0000,0.0000,0.0000,-0.8695,8.3e-04,374.7,677.157994,677.141680,1.631438e-02,339.754474,339.743715,1.075921e-02,-337.4035,1.000000e+00,9.994012e-01,2.1e-04,81.12,5.33,25.28,3.16
2,2.282728,2.282728,0.4593,0.0833,0.0001,0.0003,2.533157,2.533157,0.3967,0.0000,0.0000,0.0000,0.2504,1.6e-03,207.4,34.022250,34.001833,2.041675e-02,19.512281,19.482731,2.955008e-02,-14.5100,1.000000e+00,9.995361e-01,4.1e-04,97.92,16.44,90.56,27.15
3,3.258902,3.258902,0.2859,0.0000,0.0000,0.0000,3.635874,3.635874,0.2377,0.0000,0.0000,0.0000,0.3770,2.4e-03,200.5,20.771186,20.757942,1.324477e-02,23.224929,23.206473,1.845600e-02,2.4537,1.000000e+00,9.044194e-01,6.0e-04,100.00,71.43,100.00,58.85
4,2.928945,2.928945,0.3786,0.0000,0.0000,0.0000,2.423111,2.423111,0.5030,0.0000,0.0000,0.0000,-0.5058,3.2e-03,199.7,20.719430,20.702412,1.701804e-02,18.150349,18.138515,1.183385e-02,-2.5691,1.000000e+00,6.616728e-01,8.0e-04,100.00,73.84,100.00,52.77
5,2.724756,2.724756,0.4269,0.0000,0.0000,0.0000,2.385475,2.385475,0.4913,0.0000,0.0000,0.0000,-0.3393,4.0e-03,199.8,18.703786,18.692010,1.177656e-02,17.287105,17.273196,1.390957e-02,-1.4167,1.000000e+00,4.602854e-01,1.0e-03,100.00,81.49,100.00,65.02
6,2.695261,2.695261,0.4306,0.0000,0.0000,0.0000,2.424767,2.424767,0.4874,0.0000,0.0000,0.0000,-0.2705,4.0e-03,199.8,18.262257,18.252539,9.718923e-03,17.362490,17.356317,6.172154e-03,-0.8998,9.999999e-01,2.733386e-01,1.0e-03,100.00,86.08,100.00,72.87
7,2.664825,2.664825,0.4287,0.0000,0.0000,0.0000,2.474669,2.474669,0.4569,0.0000,0.0000,0.0000,-0.1902,4.0e-03,199.7,17.156638,17.147263,9.375394e-03,16.289758,16.282960,6.797829e-03,-0.8669,9.999999e-01,1.904680e-01,1.0e-03,100.00,85.96,100.00,77.09
8,2.678989,2.678989,0.4203,0.0000,0.0000,0.0000,2.452529,2.452529,0.4573,0.0000,0.0000,0.0000,-0.2265,4.0e-03,199.7,17.023889,17.014653,9.236156e-03,16.176927,16.168047,8.879669e-03,-0.8470,9.999999e-01,1.791387e-01,1.0e-03,100.00,87.80,100.00,78.17
9,2.655997,2.655997,0.4235,0.0000,0.0000,0.0000,2.434755,2.434755,0.4706,0.0000,0.0000,0.0000,-0.2212,4.0e-03,199.8,16.653244,16.644346,8.897584e-03,16.242944,16.231434,1.151001e-02,-0.4103,9.999999e-01,1.593665e-01,1.0e-03,100.00,87.82,100.00,76.89
10,2.642945,2.642945,0.4256,0.0000,0.0000,0.0000,2.368818,2.368818,0.4695,0.0000,0.0000,0.0000,-0.2741,4.0e-03,200.5,16.020033,16.011508,8.524940e-03,15.938658,15.925393,1.326509e-02,-0.0814,9.999999e-01,3.051052e-01,1.0e-03,100.00,88.14,100.00,73.01
11,2.687729,2.687729,0.4118,0.0000,0.0000,0.0000,2.482031,2.482031,0.4502,0.0000,0.0000,0.0000,-0.2057,4.0e-03,199.7,15.503291,15.495189,8.102518e-03,14.894401,14.886520,7.880770e-03,-0.6089,9.999999e-01,1.273222e-01,1.0e-03,100.00,88.56,100.00,81.09
12,2.641355,2.641355,0.4219,0.0000,0.0000,0.0000,2.408917,2.408917,0.4608,0.0000,0.0000,0.0000,-0.2324,4.0e-03,199.5,15.065472,15.057514,7.957276e-03,14.004496,13.993876,1.061974e-02,-1.0610,9.999999e-01,1.225836e-01,9.9e-04,100.00,87.29,100.00,77.95
