epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,train_cpc,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,val_cpc,gap,lr,time_s
1,7.768498,6.064688,0.0066,0.0000,0.0000,0.0000,1.7038,6.983941,5.861931,0.0145,0.0000,0.0000,0.0000,1.1220,-0.7846,8.3e-04,931.6
2,6.116864,4.611243,0.0704,0.0773,0.0009,0.0018,1.5056,4.348963,3.669211,0.1420,0.0000,0.0000,0.0000,0.6798,-1.7679,1.6e-03,176.8
3,4.363819,3.676885,0.1377,0.1765,0.0002,0.0004,0.6869,3.852002,3.219128,0.1877,0.0000,0.0000,0.0000,0.6329,-0.5118,2.4e-03,173.7
4,3.913525,3.330479,0.1706,0.4943,0.0286,0.0541,0.5830,3.497489,3.012838,0.2107,0.3719,0.1254,0.1875,0.4847,-0.4160,3.2e-03,173.5
5,3.806009,3.189001,0.1858,0.5145,0.0986,0.1654,0.6170,3.860462,2.992958,0.2126,0.5437,0.0546,0.0993,0.8675,0.0545,4.0e-03,174.1
6,3.926853,3.173395,0.1881,0.4892,0.0781,0.1347,0.7535,3.502024,2.887977,0.2279,0.5389,0.0439,0.0812,0.6140,-0.4248,4.0e-03,174.2
7,3.753625,3.079612,0.1999,0.5908,0.1689,0.2627,0.6740,3.436123,2.848471,0.2328,0.6338,0.1410,0.2306,0.5877,-0.3175,4.0e-03,175.0
8,3.623438,3.010612,0.2090,0.6249,0.2823,0.3889,0.6128,3.380272,2.808059,0.2396,0.5663,0.2146,0.3113,0.5722,-0.2432,4.0e-03,174.1
9,3.715915,3.009313,0.2092,0.6589,0.3394,0.4480,0.7066,3.419707,2.810437,0.2389,0.5657,0.3444,0.4281,0.6093,-0.2962,4.0e-03,173.5
10,3.703335,2.989051,0.2118,0.6866,0.3913,0.4985,0.7143,3.486657,2.783074,0.2427,0.5507,0.4820,0.5140,0.7036,-0.2167,4.0e-03,173.3
11,3.804489,3.014274,0.2086,0.6844,0.4134,0.5155,0.7902,3.615410,2.910123,0.2235,0.3213,0.6273,0.4250,0.7053,-0.1891,4.0e-03,174.3
12,3.996052,3.069440,0.2022,0.6471,0.3628,0.4649,0.9266,3.398824,2.786535,0.2429,0.4272,0.5868,0.4945,0.6123,-0.5972,4.0e-03,173.0
13,4.223107,3.143098,0.1933,0.6230,0.3398,0.4397,1.0800,4.167023,2.983273,0.2138,0.4465,0.1424,0.2160,1.1837,-0.0561,4.0e-03,172.9
14,3.871818,3.019509,0.2080,0.6865,0.4247,0.5248,0.8523,3.533802,2.785213,0.2437,0.4746,0.5829,0.5232,0.7486,-0.3380,4.0e-03,173.1
15,3.689054,2.959372,0.2166,0.7184,0.4982,0.5884,0.7297,3.314944,2.719394,0.2533,0.5025,0.6922,0.5823,0.5956,-0.3741,4.0e-03,173.0
16,3.736585,2.953144,0.2172,0.7271,0.4931,0.5876,0.7834,3.654412,2.740337,0.2498,0.4140,0.7405,0.5310,0.9141,-0.0822,4.0e-03,174.1
17,3.695692,2.920551,0.2217,0.7325,0.5452,0.6251,0.7751,3.413686,2.710381,0.2546,0.6825,0.4980,0.5759,0.7033,-0.2820,4.0e-03,172.9
18,3.787970,2.907624,0.2234,0.7385,0.5589,0.6363,0.8803,3.413651,2.698178,0.2566,0.4672,0.7410,0.5731,0.7155,-0.3743,4.0e-03,172.9
19,3.769376,2.898850,0.2247,0.7493,0.5887,0.6594,0.8705,3.340776,2.679958,0.2592,0.5378,0.7151,0.6139,0.6608,-0.4286,4.0e-03,172.9
20,3.624800,2.862619,0.2299,0.7648,0.6208,0.6853,0.7622,3.359107,2.669708,0.2619,0.5348,0.7234,0.6150,0.6894,-0.2657,3.9e-03,174.5
21,3.561117,2.844204,0.2326,0.7668,0.6538,0.7058,0.7169,3.265029,2.652608,0.2637,0.5487,0.7420,0.6309,0.6124,-0.2961,3.9e-03,173.0
22,3.543312,2.834941,0.2340,0.7737,0.6585,0.7114,0.7084,3.291686,2.651680,0.2639,0.5370,0.7615,0.6298,0.6400,-0.2516,3.9e-03,172.9
23,3.554743,2.828913,0.2349,0.7788,0.6712,0.7210,0.7258,3.260723,2.642615,0.2651,0.5758,0.7390,0.6473,0.6181,-0.2940,3.9e-03,173.1
24,3.513877,2.819140,0.2363,0.7803,0.6799,0.7267,0.6947,3.309451,2.635388,0.2666,0.5475,0.7615,0.6370,0.6741,-0.2044,3.9e-03,173.1
25,3.552801,2.815766,0.2370,0.7830,0.6823,0.7292,0.7370,3.325652,2.640688,0.2660,0.5434,0.7659,0.6358,0.6850,-0.2271,3.9e-03,174.6
26,3.524044,2.804879,0.2385,0.7852,0.6806,0.7292,0.7192,3.226361,2.616405,0.2702,0.6250,0.6951,0.6582,0.6100,-0.2977,3.9e-03,173.7
27,3.459324,2.787791,0.2410,0.7951,0.7029,0.7462,0.6715,3.210752,2.608309,0.2707,0.5818,0.7824,0.6674,0.6024,-0.2486,3.9e-03,173.4
28,3.465095,2.783788,0.2417,0.7911,0.7061,0.7462,0.6813,3.222925,2.609163,0.2709,0.5405,0.7951,0.6435,0.6138,-0.2422,3.9e-03,173.4
29,3.464950,2.780792,0.2423,0.7955,0.7098,0.7502,0.6842,3.199868,2.603597,0.2725,0.5201,0.8185,0.6361,0.5963,-0.2651,3.9e-03,174.3
30,3.454011,2.780516,0.2424,0.7946,0.7059,0.7476,0.6735,3.148430,2.593762,0.2740,0.6008,0.7590,0.6707,0.5547,-0.3056,3.9e-03,173.1
31,3.393908,2.761115,0.2452,0.8028,0.7230,0.7608,0.6328,3.150307,2.582330,0.2763,0.5704,0.8024,0.6668,0.5680,-0.2436,3.8e-03,173.1
32,3.398164,2.753386,0.2464,0.8029,0.7259,0.7625,0.6448,3.158513,2.585734,0.2752,0.5623,0.8229,0.6681,0.5728,-0.2397,3.8e-03,173.2
33,3.336272,2.740544,0.2486,0.8095,0.7307,0.7681,0.5957,3.124710,2.574356,0.2769,0.6070,0.7732,0.6801,0.5504,-0.2116,3.8e-03,173.1
34,3.309591,2.734503,0.2496,0.8133,0.7374,0.7735,0.5751,3.100476,2.570763,0.2788,0.5521,0.8039,0.6546,0.5297,-0.2091,3.8e-03,174.3
35,3.291491,2.727916,0.2507,0.8162,0.7406,0.7765,0.5636,3.074082,2.563714,0.2793,0.6546,0.7293,0.6899,0.5104,-0.2174,3.8e-03,173.2
36,3.297869,2.721596,0.2516,0.8087,0.7315,0.7682,0.5763,3.088279,2.563328,0.2796,0.6140,0.7932,0.6922,0.5250,-0.2096,3.8e-03,173.3
37,3.269339,2.714165,0.2527,0.8166,0.7399,0.7764,0.5552,3.091678,2.556356,0.2806,0.5270,0.8424,0.6484,0.5353,-0.1777,3.8e-03,173.1
38,3.257336,2.706169,0.2541,0.8212,0.7499,0.7839,0.5512,3.060705,2.547013,0.2820,0.7062,0.7176,0.7118,0.5137,-0.1966,3.8e-03,174.3
39,3.273038,2.704388,0.2545,0.8265,0.7531,0.7881,0.5687,3.175845,2.563488,0.2803,0.5566,0.8293,0.6661,0.6124,-0.0972,3.7e-03,173.1
40,3.319009,2.700173,0.2551,0.8238,0.7432,0.7814,0.6188,3.159190,2.546810,0.2833,0.6575,0.7615,0.7057,0.6124,-0.1598,3.7e-03,173.1
41,3.429258,2.708612,0.2535,0.8178,0.7452,0.7798,0.7206,3.139903,2.535399,0.2840,0.5917,0.8122,0.6846,0.6045,-0.2894,3.7e-03,173.8
42,3.339102,2.693812,0.2563,0.8165,0.7476,0.7805,0.6453,3.111612,2.541242,0.2840,0.5448,0.8420,0.6616,0.5704,-0.2275,3.7e-03,173.6
43,3.313463,2.686441,0.2574,0.8232,0.7551,0.7877,0.6270,3.119795,2.528433,0.2865,0.6047,0.8200,0.6961,0.5914,-0.1937,3.7e-03,175.8
44,3.270648,2.679356,0.2585,0.8239,0.7589,0.7900,0.5913,3.058181,2.534259,0.2850,0.5751,0.8200,0.6761,0.5239,-0.2125,3.7e-03,173.7
45,3.248590,2.671910,0.2596,0.8218,0.7582,0.7887,0.5767,3.065929,2.517439,0.2878,0.6330,0.8020,0.7076,0.5485,-0.1827,3.6e-03,173.0
46,3.286136,2.673763,0.2595,0.8294,0.7592,0.7927,0.6124,3.098500,2.524932,0.2865,0.5811,0.8176,0.6794,0.5736,-0.1876,3.6e-03,173.0
47,3.307414,2.672959,0.2598,0.8247,0.7571,0.7894,0.6345,3.111925,2.529065,0.2862,0.5286,0.8566,0.6538,0.5829,-0.1955,3.6e-03,174.1
48,3.447093,2.682404,0.2580,0.8188,0.7448,0.7801,0.7647,3.807406,2.590618,0.2763,0.5384,0.7790,0.6368,1.2168,0.3603,3.6e-03,172.8
49,3.454951,2.678800,0.2587,0.8230,0.7512,0.7855,0.7762,3.135279,2.521055,0.2881,0.5921,0.8249,0.6894,0.6142,-0.3197,3.6e-03,173.0
50,3.440058,2.671111,0.2599,0.8224,0.7578,0.7887,0.7689,3.112542,2.517591,0.2880,0.5665,0.8415,0.6771,0.5950,-0.3275,3.6e-03,172.8
51,3.349423,2.659564,0.2617,0.8319,0.7680,0.7987,0.6899,3.155550,2.513173,0.2896,0.5089,0.8834,0.6457,0.6424,-0.1939,3.5e-03,172.8
52,3.283077,2.650354,0.2632,0.8342,0.7736,0.8028,0.6327,3.074098,2.504217,0.2899,0.5392,0.8629,0.6637,0.5699,-0.2090,3.5e-03,174.0
53,3.300855,2.648037,0.2637,0.8334,0.7672,0.7989,0.6528,3.122259,2.504778,0.2899,0.6462,0.7922,0.7118,0.6175,-0.1786,3.5e-03,172.8
54,3.323275,2.646455,0.2640,0.8334,0.7816,0.8067,0.6768,3.115802,2.502522,0.2910,0.5183,0.8785,0.6519,0.6133,-0.2075,3.5e-03,172.9
55,3.303856,2.639708,0.2651,0.8384,0.7790,0.8076,0.6641,3.198061,2.500388,0.2915,0.7470,0.7229,0.7348,0.6977,-0.1058,3.5e-03,173.2
56,3.359186,2.639347,0.2649,0.8400,0.7698,0.8034,0.7198,3.063051,2.497264,0.2916,0.5835,0.8351,0.6870,0.5658,-0.2961,3.4e-03,174.8
57,3.295914,2.638138,0.2653,0.8349,0.7605,0.7960,0.6578,3.074295,2.491851,0.2918,0.5660,0.8410,0.6766,0.5824,-0.2216,3.4e-03,173.8
58,3.269459,2.631506,0.2666,0.8430,0.7443,0.7906,0.6380,3.082169,2.488455,0.2938,0.5408,0.8595,0.6639,0.5937,-0.1873,3.4e-03,173.4
59,3.281904,2.630723,0.2665,0.8321,0.7283,0.7768,0.6512,3.131950,2.492265,0.2924,0.5676,0.8254,0.6726,0.6397,-0.1500,3.4e-03,173.6
60,3.264131,2.630373,0.2667,0.8290,0.7383,0.7810,0.6338,3.040252,2.493259,0.2933,0.5694,0.8249,0.6737,0.5470,-0.2239,3.4e-03,173.8
61,3.256509,2.626590,0.2674,0.8328,0.7554,0.7922,0.6299,3.051798,2.487674,0.2932,0.5691,0.8434,0.6796,0.5641,-0.2047,3.3e-03,174.6
62,3.234785,2.622953,0.2679,0.8318,0.7597,0.7941,0.6118,3.055576,2.486092,0.2943,0.5997,0.8317,0.6969,0.5695,-0.1792,3.3e-03,173.5
63,3.259646,2.624706,0.2676,0.8326,0.7603,0.7948,0.6349,3.086368,2.485351,0.2942,0.5185,0.8756,0.6513,0.6010,-0.1733,3.3e-03,173.0
64,3.209632,2.615928,0.2690,0.8327,0.7697,0.8000,0.5937,3.032624,2.480809,0.2943,0.6247,0.8307,0.7131,0.5518,-0.1770,3.3e-03,173.0
