epoch,train_loss,train_acc,val_loss,val_acc,lr,time_s
1,0.405580,0.8864,0.365129,0.8996,1.0e-03,1.0
2,0.366515,0.8990,0.362960,0.9013,1.0e-03,0.8
3,0.362265,0.8992,0.358175,0.9019,9.9e-04,0.8
4,0.359823,0.8991,0.357015,0.9015,9.8e-04,0.8
5,0.358092,0.8996,0.355453,0.9022,9.8e-04,0.7
6,0.356942,0.8997,0.355011,0.9025,9.7e-04,0.8
7,0.355381,0.8995,0.352060,0.9020,9.5e-04,0.8
8,0.354048,0.8999,0.352644,0.9010,9.4e-04,0.7
9,0.353030,0.9001,0.354073,0.9022,9.2e-04,0.7
10,0.352331,0.8997,0.354134,0.9026,9.1e-04,0.8
11,0.351528,0.9000,0.351486,0.9016,8.9e-04,0.7
12,0.350284,0.9001,0.354620,0.9009,8.7e-04,0.8
13,0.349604,0.9003,0.354367,0.9024,8.4e-04,0.8
14,0.348503,0.9002,0.348487,0.9014,8.2e-04,0.8
15,0.347760,0.9002,0.348288,0.9015,8.0e-04,0.8
16,0.346423,0.9005,0.351363,0.9016,7.7e-04,0.8
17,0.345997,0.9002,0.351934,0.9015,7.4e-04,0.8
18,0.345102,0.9002,0.350409,0.9019,7.2e-04,0.8
19,0.343915,0.9005,0.349832,0.9015,6.9e-04,0.8
20,0.342962,0.9008,0.352026,0.9011,6.6e-04,0.8
21,0.342479,0.9008,0.350317,0.9015,6.3e-04,0.8
22,0.341126,0.9008,0.350089,0.9027,6.0e-04,0.8
23,0.340536,0.9008,0.352537,0.9032,5.7e-04,0.8
24,0.339715,0.9011,0.350062,0.9015,5.4e-04,0.8
25,0.338715,0.9009,0.350046,0.9020,5.0e-04,0.8
