iteration,mean_survival,mean_return,loss,mean_value,entropy,lr,eval_survival,jump_ratio,time_s
0,,,,,,1.0e-04,18.51,0.34,0.0
1,21.91,16.6566,39.8778,0.4295,0.2921,1.0e-04,,,10.5
2,22.68,17.5074,35.6006,2.0867,0.3082,1.0e-04,,,10.2
3,22.51,17.4684,30.0251,4.2917,0.3213,1.0e-04,,,10.2
4,22.27,17.3590,26.3911,6.6822,0.2965,1.0e-04,,,10.2
5,23.53,18.5996,24.6536,9.2754,0.2794,1.0e-04,,,10.2
6,23.53,18.6832,22.5877,11.9716,0.2760,1.0e-04,,,10.2
7,21.46,16.7363,20.7459,14.5567,0.2794,1.0e-04,,,10.2
8,22.88,18.0875,21.6536,17.0795,0.2853,1.0e-04,,,10.2
9,21.19,16.4879,21.0271,19.4715,0.2880,1.0e-04,,,10.2
10,22.57,17.9254,24.4609,21.1338,0.3001,1.0e-04,17.11,0.02,10.2
11,22.44,17.7773,24.8764,22.2687,0.2891,1.0e-04,,,10.2
12,22.64,17.8969,26.5415,23.0431,0.2840,1.0e-04,,,10.2
13,20.67,16.1375,24.2241,23.3222,0.2595,1.0e-04,,,10.2
14,21.57,16.9793,25.5153,23.4368,0.2676,1.0e-04,,,10.2
15,21.83,17.2051,25.4568,23.5199,0.2731,1.0e-04,,,10.2
16,22.94,18.1660,27.1010,23.7156,0.2818,1.0e-04,,,10.2
17,21.20,16.4828,25.1620,23.7455,0.2809,1.0e-04,,,10.2
18,23.35,18.5742,27.2906,23.7840,0.2659,1.0e-04,,,10.2
19,21.10,16.4668,23.8795,23.8026,0.2687,1.0e-04,,,10.2
20,21.50,16.8422,24.6803,23.7688,0.2651,1.0e-04,18.05,0.09,10.2
21,21.33,16.7074,24.6880,23.6438,0.2657,1.0e-04,,,10.2
22,22.28,17.5488,26.7312,23.7504,0.2564,1.0e-04,,,10.2
23,22.73,18.0387,24.8013,23.5637,0.2548,1.0e-04,,,10.2
24,22.65,17.9059,26.2442,23.6634,0.2498,1.0e-04,,,10.2
25,21.46,16.8039,24.1848,23.5444,0.2462,1.0e-04,,,10.2
26,22.75,18.0641,25.1867,23.5521,0.2329,1.0e-04,,,10.1
27,22.43,17.7531,24.9903,23.5240,0.2229,1.0e-04,,,10.1
28,21.50,16.8184,23.7777,23.6062,0.2397,1.0e-04,,,10.1
29,21.60,16.9031,24.7115,23.7369,0.2306,1.0e-04,,,10.1
30,21.95,17.2660,23.7411,23.5056,0.2299,1.0e-04,18.76,0.12,10.1
31,21.79,17.1586,23.9132,23.5424,0.2303,1.0e-04,,,10.1
32,22.87,18.1344,25.9940,23.6820,0.2378,1.0e-04,,,10.1
33,22.48,17.6984,24.7157,23.4989,0.2383,1.0e-04,,,10.1
34,21.52,16.8125,23.0585,23.5481,0.2365,1.0e-04,,,10.1
35,21.84,17.1414,23.8868,23.4738,0.2433,1.0e-04,,,10.1
36,22.89,18.0301,26.1464,23.4049,0.2361,1.0e-04,,,10.1
37,22.44,17.6168,23.2319,23.1379,0.2286,1.0e-04,,,10.1
38,22.22,17.3930,23.2266,23.3951,0.2381,1.0e-04,,,10.1
39,22.73,17.8543,25.3398,23.4817,0.2356,1.0e-04,,,10.1
40,22.34,17.4391,24.0583,23.1381,0.2316,1.0e-04,19.82,0.19,10.1
41,22.62,17.6824,24.8706,23.1536,0.2425,1.0e-04,,,10.1
42,23.22,18.2699,24.4120,23.1668,0.2269,1.0e-04,,,10.1
43,22.81,17.9305,25.0563,23.0018,0.2361,1.0e-04,,,10.1
44,21.89,16.9797,23.5214,23.1730,0.2377,1.0e-04,,,10.1
45,23.33,18.3180,26.0072,23.1444,0.2275,1.0e-04,,,10.1
46,22.56,17.6039,24.4432,23.2752,0.2241,1.0e-04,,,10.1
47,23.02,18.0922,24.8970,23.2654,0.2305,1.0e-04,,,10.2
48,22.83,17.8301,24.6833,23.0698,0.2244,1.0e-04,,,10.1
49,23.29,18.2887,25.4712,23.1642,0.2257,1.0e-04,,,10.2
50,23.59,18.5340,25.5864,23.1934,0.2307,1.0e-04,19.88,0.21,10.2
51,23.88,18.8543,24.2835,23.1385,0.2244,1.0e-04,,,10.1
52,23.69,18.6770,24.4086,22.8419,0.2092,1.0e-04,,,10.1
53,22.04,17.1531,23.1014,23.0040,0.2312,1.0e-04,,,10.1
54,23.35,18.3367,24.8829,22.9434,0.2263,1.0e-04,,,10.2
55,23.28,18.2383,24.3235,22.9838,0.2263,1.0e-04,,,10.2
56,23.59,18.5145,23.9756,23.1484,0.2229,1.0e-04,,,10.2
57,23.10,18.0027,24.9758,22.9272,0.2154,1.0e-04,,,10.2
58,24.05,18.9391,24.3909,22.6510,0.2190,1.0e-04,,,10.2
59,24.30,19.1797,25.1979,22.8817,0.2119,1.0e-04,,,10.2
60,22.83,17.7441,23.9138,22.9083,0.2168,1.0e-04,20.31,0.26,10.1
61,22.44,17.4309,24.1407,22.8195,0.2092,1.0e-04,,,10.1
62,22.78,17.7105,24.5625,23.1106,0.2175,1.0e-04,,,10.1
63,22.81,17.7566,24.6189,23.0694,0.2118,1.0e-04,,,10.1
64,24.13,18.9715,24.6936,22.9768,0.2107,1.0e-04,,,10.2
65,22.84,17.7961,23.6347,22.8649,0.2097,1.0e-04,,,10.1
66,24.09,18.9781,24.2322,22.7656,0.2149,1.0e-04,,,10.2
67,23.83,18.7062,24.5306,22.6341,0.2143,1.0e-04,,,10.2
68,23.32,18.2609,23.3162,22.6007,0.2036,1.0e-04,,,10.2
69,23.64,18.5488,24.6963,22.5392,0.2051,1.0e-04,,,10.2
70,23.03,17.9074,23.7029,22.9302,0.2151,1.0e-04,21.05,0.28,10.2
71,24.60,19.3035,25.9236,22.8458,0.2095,1.0e-04,,,10.2
72,23.91,18.6828,24.8680,22.9102,0.2083,1.0e-04,,,10.2
73,24.71,19.4781,26.2445,22.7804,0.2160,1.0e-04,,,10.2
74,24.36,19.1145,24.4846,22.9517,0.2097,1.0e-04,,,10.2
75,25.16,19.8719,25.9097,22.7402,0.2078,1.0e-04,,,10.2
76,23.51,18.3695,23.6471,22.7158,0.2076,1.0e-04,,,10.2
77,23.30,18.1051,25.4224,22.8763,0.1991,1.0e-04,,,10.2
78,24.48,19.2180,23.9556,22.5620,0.2048,1.0e-04,,,10.2
79,23.19,17.9695,24.8722,22.6529,0.2021,1.0e-04,,,10.2
80,24.10,18.8824,24.6666,22.6015,0.2033,1.0e-04,21.46,0.29,10.2
81,22.92,17.8160,24.9178,22.9254,0.2150,1.0e-04,,,10.2
82,23.48,18.3492,24.3993,22.5529,0.2061,1.0e-04,,,10.2
83,24.09,18.8840,24.7477,22.5332,0.2066,1.0e-04,,,10.2
84,23.85,18.6480,24.6413,22.4274,0.2086,1.0e-04,,,10.1
85,23.72,18.4941,23.9592,22.9148,0.2089,1.0e-04,,,10.1
86,23.36,18.1762,23.9969,22.6376,0.2043,1.0e-04,,,10.1
87,23.32,18.1363,24.2258,22.7784,0.1989,1.0e-04,,,10.2
88,24.08,18.8785,24.6058,22.4297,0.2067,1.0e-04,,,10.2
89,24.43,19.1426,24.3527,22.7659,0.2016,1.0e-04,,,10.2
90,24.09,18.7809,23.9184,22.6549,0.1925,1.0e-04,22.66,0.33,10.2
91,24.08,18.7582,24.9547,22.8275,0.1985,1.0e-04,,,10.2
92,23.76,18.4566,24.3293,22.6860,0.1960,1.0e-04,,,10.2
93,24.59,19.2031,24.9115,22.5317,0.1943,1.0e-04,,,10.2
94,24.06,18.6617,24.5682,22.5581,0.1965,1.0e-04,,,10.2
95,24.29,18.8773,23.7989,22.4089,0.1966,1.0e-04,,,10.2
96,24.26,18.8816,23.6424,22.4755,0.1976,1.0e-04,,,10.2
97,23.90,18.6629,24.1074,22.3027,0.1973,1.0e-04,,,10.1
98,24.13,18.8840,24.0563,22.3974,0.1955,1.0e-04,,,10.2
99,23.93,18.6180,24.5888,22.6361,0.1968,1.0e-04,,,10.2
