epoch,train_recon,train_slow,train_uniform,val_recon,codebook_usage,codebook_ppl,lr,time_s
1,25.354947,0.388704,-2.103387,10.580476,0.9968,0.2016,1.0e-03,417.4
2,8.659039,0.495700,-2.527170,6.955404,1.0000,0.3460,1.0e-03,101.6
3,6.506007,0.625389,-2.851725,5.760289,1.0000,0.4179,1.0e-03,93.1
4,5.485274,0.682165,-2.976418,4.917383,1.0000,0.4912,1.0e-03,92.9
5,4.840311,0.716687,-3.046575,4.361765,1.0000,0.5238,1.0e-03,93.0
6,4.380725,0.736516,-3.090066,3.910411,1.0000,0.5137,1.0e-03,92.8
7,4.025523,0.749105,-3.125660,3.911618,1.0000,0.5371,1.0e-03,92.7
8,3.746753,0.757276,-3.160702,3.466042,1.0000,0.5459,1.0e-03,92.9
9,3.515420,0.760332,-3.188481,3.230418,1.0000,0.5705,1.0e-03,93.0
10,3.340652,0.759163,-3.212579,3.342462,1.0000,0.6097,9.9e-04,92.7
11,3.196621,0.755729,-3.232436,3.076231,1.0000,0.6126,9.9e-04,92.8
12,3.079229,0.749535,-3.253321,3.003412,1.0000,0.6309,9.9e-04,92.9
13,2.961914,0.740886,-3.269909,2.850325,1.0000,0.5838,9.9e-04,93.0
14,2.861221,0.733978,-3.288674,2.705517,1.0000,0.6247,9.9e-04,92.8
15,2.779183,0.730056,-3.305596,2.612735,1.0000,0.5842,9.9e-04,93.2
16,2.697042,0.724704,-3.319662,2.648896,1.0000,0.6273,9.8e-04,93.1
17,2.628671,0.719635,-3.331192,2.484503,1.0000,0.6255,9.8e-04,93.0
18,2.564972,0.714683,-3.346604,2.531430,1.0000,0.6249,9.8e-04,93.4
19,2.503482,0.710020,-3.359062,2.437093,1.0000,0.6289,9.8e-04,93.0
20,2.457182,0.707224,-3.374679,2.413278,1.0000,0.6379,9.8e-04,93.1
21,2.425378,0.707101,-3.390122,3.149203,1.0000,0.7075,9.7e-04,93.0
22,2.388292,0.707210,-3.398701,2.301615,1.0000,0.6558,9.7e-04,93.1
23,2.359015,0.704863,-3.404050,2.329250,1.0000,0.7153,9.7e-04,93.3
24,2.339753,0.704233,-3.413183,2.473911,1.0000,0.6850,9.7e-04,93.3
25,2.309604,0.702810,-3.419538,2.258513,1.0000,0.6453,9.6e-04,93.2
26,2.293584,0.699172,-3.423228,2.266856,1.0000,0.6460,9.6e-04,93.3
27,2.269073,0.698989,-3.431769,2.248543,1.0000,0.6865,9.6e-04,92.9
28,2.250790,0.701344,-3.440541,2.288483,1.0000,0.6471,9.5e-04,92.8
29,2.222119,0.697410,-3.441959,2.248824,1.0000,0.7339,9.5e-04,93.0
30,2.208025,0.696517,-3.444864,2.221619,1.0000,0.6450,9.5e-04,92.9
31,2.187186,0.695504,-3.449085,2.419982,1.0000,0.6716,9.4e-04,93.2
32,2.169224,0.693711,-3.448580,2.171560,1.0000,0.6814,9.4e-04,93.1
33,2.150612,0.692722,-3.454429,2.135521,1.0000,0.7056,9.3e-04,93.1
34,2.137931,0.691322,-3.458418,2.065673,1.0000,0.7161,9.3e-04,92.9
35,2.121560,0.689337,-3.461120,2.072371,1.0000,0.6860,9.3e-04,93.0
36,2.110800,0.690877,-3.463823,2.049501,1.0000,0.7182,9.2e-04,93.0
37,2.099778,0.691597,-3.465337,2.144608,1.0000,0.7119,9.2e-04,93.1
38,2.088274,0.692057,-3.464030,2.049047,1.0000,0.7025,9.1e-04,92.8
39,2.072562,0.695315,-3.470550,2.167046,1.0000,0.6667,9.1e-04,93.0
40,2.064669,0.696032,-3.470915,2.134421,1.0000,0.7061,9.1e-04,93.1
41,2.051149,0.697030,-3.474466,2.032196,1.0000,0.6834,9.0e-04,92.9
