epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,train_cpc,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,val_cpc,gap,lr,time_s
1,9.002501,5.924299,0.0091,0.0000,0.0000,0.0000,3.0782,7.867125,5.468780,0.0187,0.0000,0.0000,0.0000,2.3983,-1.1354,8.3e-04,236.9
2,6.588165,4.470586,0.0766,0.0605,0.0009,0.0018,2.1176,4.855949,3.585320,0.1517,0.0000,0.0000,0.0000,1.2706,-1.7322,1.6e-03,162.7
3,4.781898,3.641199,0.1400,0.3585,0.0023,0.0045,1.1407,4.130927,3.263871,0.1832,0.6250,0.0073,0.0145,0.8671,-0.6510,2.4e-03,161.8
4,4.329027,3.393483,0.1638,0.5480,0.0729,0.1287,0.9355,3.860431,3.094673,0.2013,0.4212,0.1395,0.2096,0.7658,-0.4686,3.2e-03,162.3
5,4.069773,3.263612,0.1777,0.5978,0.1574,0.2492,0.8062,3.641274,2.997428,0.2134,0.4457,0.1722,0.2484,0.6438,-0.4285,4.0e-03,162.5
6,3.928473,3.185886,0.1868,0.6281,0.2403,0.3476,0.7426,3.614423,2.969309,0.2168,0.5355,0.2244,0.3163,0.6451,-0.3141,4.0e-03,161.7
7,3.870028,3.129178,0.1937,0.6647,0.2986,0.4121,0.7408,3.610546,2.923927,0.2231,0.4154,0.4683,0.4403,0.6866,-0.2595,4.0e-03,162.2
8,3.805352,3.082327,0.1995,0.6850,0.3418,0.4561,0.7230,3.487240,2.878703,0.2295,0.5583,0.3366,0.4200,0.6085,-0.3181,4.0e-03,161.8
9,3.758835,3.045941,0.2040,0.7081,0.3920,0.5046,0.7129,3.444226,2.853127,0.2336,0.4241,0.5478,0.4781,0.5911,-0.3146,4.0e-03,162.4
10,3.708513,3.015316,0.2079,0.7165,0.4190,0.5287,0.6932,3.443866,2.846990,0.2354,0.4683,0.5771,0.5170,0.5969,-0.2646,4.0e-03,161.8
11,3.660519,2.991752,0.2112,0.7280,0.4429,0.5507,0.6688,3.403067,2.811839,0.2391,0.4753,0.5961,0.5289,0.5912,-0.2575,4.0e-03,162.4
12,3.609292,2.965893,0.2147,0.7413,0.4749,0.5789,0.6434,3.360944,2.808794,0.2400,0.4644,0.6327,0.5356,0.5521,-0.2483,4.0e-03,161.6
13,3.580814,2.948403,0.2171,0.7455,0.4903,0.5915,0.6324,3.358498,2.806376,0.2407,0.6304,0.5200,0.5699,0.5521,-0.2223,4.0e-03,162.1
14,3.525980,2.928009,0.2197,0.7451,0.4969,0.5962,0.5980,3.298723,2.796641,0.2429,0.5918,0.5883,0.5900,0.5021,-0.2273,4.0e-03,161.6
15,3.460034,2.909793,0.2226,0.7682,0.5296,0.6270,0.5502,3.248637,2.793267,0.2444,0.5152,0.6463,0.5733,0.4554,-0.2114,4.0e-03,162.0
16,3.434173,2.896832,0.2245,0.7703,0.5398,0.6348,0.5373,3.250752,2.781340,0.2458,0.5113,0.6649,0.5780,0.4694,-0.1834,4.0e-03,161.7
17,3.414890,2.881152,0.2266,0.7725,0.5553,0.6461,0.5337,3.272481,2.780779,0.2458,0.6244,0.5766,0.5995,0.4917,-0.1424,4.0e-03,162.1
18,3.399833,2.868706,0.2283,0.7735,0.5677,0.6548,0.5311,3.250160,2.781205,0.2466,0.5332,0.7127,0.6100,0.4690,-0.1497,4.0e-03,161.7
19,3.377916,2.857452,0.2300,0.7901,0.5921,0.6769,0.5205,3.215363,2.765501,0.2484,0.5262,0.7298,0.6115,0.4499,-0.1626,4.0e-03,162.2
20,3.352299,2.844504,0.2319,0.7927,0.6007,0.6835,0.5078,3.232446,2.767481,0.2496,0.5689,0.6702,0.6155,0.4650,-0.1199,3.9e-03,161.6
21,3.320558,2.832484,0.2336,0.7972,0.6075,0.6895,0.4881,3.185690,2.755333,0.2498,0.4923,0.7766,0.6026,0.4304,-0.1349,3.9e-03,162.1
22,3.305474,2.825637,0.2347,0.8009,0.6208,0.6995,0.4798,3.168713,2.749154,0.2521,0.5476,0.7415,0.6299,0.4196,-0.1368,3.9e-03,162.2
23,3.297662,2.815717,0.2364,0.8046,0.6263,0.7043,0.4819,3.158667,2.740486,0.2519,0.5049,0.7566,0.6056,0.4182,-0.1390,3.9e-03,164.5
24,3.289099,2.806766,0.2376,0.8023,0.6318,0.7069,0.4823,3.163232,2.751949,0.2514,0.5960,0.6815,0.6359,0.4113,-0.1259,3.9e-03,163.6
