epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,train_cpc,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,val_cpc,gap,lr,time_s
1,7.918969,6.166226,0.0046,0.0000,0.0000,0.0000,1.7527,7.146033,6.045388,0.0108,0.0000,0.0000,0.0000,1.1006,-0.7729,8.3e-04,931.8
2,7.524136,5.448414,0.0400,0.0820,0.0009,0.0018,2.0757,5.995705,4.813446,0.1030,0.0000,0.0000,0.0000,1.1823,-1.5284,1.6e-03,177.0
3,5.939585,4.803722,0.1073,0.0000,0.0000,0.0000,1.1359,5.480022,4.594628,0.1496,0.0000,0.0000,0.0000,0.8854,-0.4596,2.4e-03,174.3
4,5.424513,4.628006,0.1371,0.1316,0.0003,0.0006,0.7965,5.081169,4.467141,0.1752,0.0000,0.0000,0.0000,0.6140,-0.3433,3.2e-03,174.2
5,5.108070,4.508860,0.1591,0.3600,0.0005,0.0011,0.5992,4.939506,4.374705,0.1959,0.0000,0.0000,0.0000,0.5648,-0.1686,4.0e-03,174.2
6,5.081517,4.464867,0.1690,0.3581,0.0243,0.0455,0.6167,4.884586,4.344011,0.2040,0.3364,0.0176,0.0334,0.5406,-0.1969,4.0e-03,174.1
7,4.916542,4.380444,0.1882,0.6372,0.2029,0.3078,0.5361,4.814641,4.292687,0.2184,0.5086,0.2454,0.3310,0.5220,-0.1019,4.0e-03,175.4
8,4.854994,4.339276,0.1996,0.7039,0.3634,0.4793,0.5157,4.769497,4.262250,0.2281,0.4476,0.4605,0.4540,0.5072,-0.0855,4.0e-03,173.9
9,4.831325,4.314682,0.2065,0.7428,0.4547,0.5641,0.5166,4.757979,4.250917,0.2331,0.6257,0.3971,0.4858,0.5071,-0.0733,4.0e-03,173.8
10,4.833193,4.300242,0.2105,0.7705,0.5039,0.6093,0.5330,4.778964,4.240672,0.2350,0.6383,0.4537,0.5304,0.5383,-0.0542,4.0e-03,174.4
11,4.858127,4.296364,0.2118,0.7754,0.5166,0.6201,0.5618,4.775958,4.237430,0.2359,0.5696,0.5688,0.5692,0.5385,-0.0822,4.0e-03,175.6
12,4.851234,4.283513,0.2157,0.7857,0.5469,0.6449,0.5677,4.750286,4.222197,0.2428,0.6206,0.5849,0.6022,0.5281,-0.1009,4.0e-03,174.3
13,4.831515,4.268331,0.2207,0.8014,0.5942,0.6824,0.5632,4.747938,4.210911,0.2462,0.4611,0.7805,0.5797,0.5370,-0.0836,4.0e-03,174.1
14,4.828964,4.257030,0.2241,0.8154,0.6193,0.7039,0.5719,4.759011,4.212359,0.2473,0.5529,0.7337,0.6306,0.5467,-0.0700,4.0e-03,174.1
15,4.843145,4.252120,0.2260,0.8162,0.6246,0.7077,0.5910,4.762166,4.198849,0.2509,0.6313,0.6849,0.6570,0.5633,-0.0810,4.0e-03,174.2
16,4.843765,4.245758,0.2279,0.8182,0.6340,0.7144,0.5980,4.754383,4.194871,0.2511,0.6490,0.6673,0.6580,0.5595,-0.0894,4.0e-03,175.5
17,4.846298,4.239090,0.2301,0.8267,0.6516,0.7288,0.6072,4.765026,4.192769,0.2523,0.6525,0.6522,0.6524,0.5723,-0.0813,4.0e-03,174.2
