epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,train_cpc,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,val_cpc,gap,lr,time_s
1,7.768035,6.063787,0.0066,0.0000,0.0000,0.0000,1.7042,6.981781,5.859775,0.0146,0.0000,0.0000,0.0000,1.1220,-0.7863,8.3e-04,922.1
2,5.987258,4.546828,0.0748,0.0588,0.0004,0.0007,1.4404,4.480490,3.628679,0.1447,0.0000,0.0000,0.0000,0.8518,-1.5068,1.6e-03,174.8
3,4.321083,3.616532,0.1428,0.2222,0.0002,0.0005,0.7046,3.748276,3.164280,0.1931,0.0000,0.0000,0.0000,0.5840,-0.5728,2.4e-03,172.8
4,3.929387,3.302059,0.1731,0.4483,0.0250,0.0474,0.6273,3.544422,2.988010,0.2138,0.4007,0.0551,0.0969,0.5564,-0.3850,3.2e-03,172.8
5,3.749962,3.154371,0.1899,0.5533,0.0889,0.1532,0.5956,3.593571,2.954609,0.2174,0.5738,0.0171,0.0332,0.6390,-0.1564,4.0e-03,172.9
6,3.784463,3.121202,0.1941,0.5407,0.1296,0.2091,0.6633,3.509513,2.881392,0.2290,0.5621,0.0420,0.0781,0.6281,-0.2749,4.0e-03,172.8
7,3.675115,3.031602,0.2056,0.6271,0.2645,0.3720,0.6435,3.399968,2.812964,0.2378,0.4802,0.4210,0.4487,0.5870,-0.2751,4.0e-03,173.8
8,3.582440,2.976193,0.2131,0.6758,0.3801,0.4866,0.6062,3.359918,2.772735,0.2439,0.5319,0.4517,0.4885,0.5872,-0.2225,4.0e-03,172.8
9,3.537310,2.938684,0.2183,0.7073,0.4509,0.5507,0.5986,3.316952,2.745451,0.2486,0.6103,0.4210,0.4983,0.5715,-0.2204,4.0e-03,172.8
10,3.543562,2.923950,0.2204,0.7116,0.4847,0.5766,0.6196,3.308560,2.737536,0.2494,0.4645,0.6341,0.5362,0.5710,-0.2350,4.0e-03,172.8
11,3.499750,2.893091,0.2250,0.7395,0.5039,0.5994,0.6067,3.284933,2.699673,0.2556,0.5157,0.6317,0.5679,0.5853,-0.2148,4.0e-03,173.8
12,3.496470,2.872317,0.2279,0.7438,0.5192,0.6115,0.6242,3.283232,2.693045,0.2569,0.5092,0.6785,0.5818,0.5902,-0.2132,4.0e-03,172.8
13,3.539955,2.868779,0.2283,0.7447,0.5127,0.6073,0.6712,3.340718,2.705664,0.2545,0.4903,0.5556,0.5209,0.6351,-0.1992,4.0e-03,172.8
14,3.491125,2.847798,0.2313,0.7504,0.5261,0.6185,0.6433,3.317240,2.674309,0.2603,0.5756,0.6205,0.5972,0.6429,-0.1739,4.0e-03,172.8
15,3.586257,2.839908,0.2326,0.7616,0.4978,0.6021,0.7463,3.287545,2.660478,0.2620,0.5588,0.7000,0.6215,0.6271,-0.2987,4.0e-03,172.8
16,3.556813,2.821797,0.2354,0.7618,0.5567,0.6433,0.7350,3.343811,2.656151,0.2625,0.5633,0.6663,0.6105,0.6877,-0.2130,4.0e-03,173.7
17,3.563488,2.809979,0.2372,0.7811,0.5780,0.6644,0.7535,3.296054,2.633842,0.2665,0.7380,0.4893,0.5884,0.6622,-0.2674,4.0e-03,172.8
18,3.539363,2.795588,0.2395,0.7797,0.5771,0.6633,0.7438,3.305192,2.629274,0.2679,0.6278,0.6771,0.6515,0.6759,-0.2342,4.0e-03,172.8
19,3.488814,2.782443,0.2417,0.7828,0.6028,0.6811,0.7064,3.226071,2.609288,0.2704,0.6976,0.5795,0.6331,0.6168,-0.2627,4.0e-03,172.8
20,3.443628,2.772894,0.2428,0.7892,0.6287,0.6999,0.6707,3.244304,2.615000,0.2708,0.6029,0.7029,0.6491,0.6293,-0.1993,3.9e-03,173.9
21,3.401978,2.765348,0.2440,0.7958,0.6457,0.7129,0.6366,3.154381,2.597006,0.2732,0.5188,0.7922,0.6270,0.5574,-0.2476,3.9e-03,172.8
22,3.332336,2.751019,0.2466,0.7994,0.6650,0.7260,0.5813,3.144394,2.588017,0.2746,0.5503,0.7659,0.6404,0.5564,-0.1879,3.9e-03,172.8
23,3.330510,2.744653,0.2474,0.7995,0.6774,0.7334,0.5859,3.157365,2.587851,0.2747,0.6786,0.6590,0.6686,0.5695,-0.1731,3.9e-03,172.8
24,3.390323,2.752898,0.2460,0.7968,0.6726,0.7294,0.6374,3.200469,2.594090,0.2732,0.4902,0.8215,0.6140,0.6064,-0.1899,3.9e-03,172.9
25,3.365350,2.740173,0.2483,0.8043,0.6796,0.7367,0.6252,3.116260,2.573080,0.2769,0.5675,0.7873,0.6596,0.5432,-0.2491,3.9e-03,173.7
