epoch,train_loss,train_acc,val_loss,val_acc,lr,time_s
1,0.693920,0.7346,0.652896,0.7514,1.0e-03,1.3
2,0.636920,0.7631,0.616386,0.7744,1.0e-03,0.9
3,0.600904,0.7808,0.598841,0.7844,9.9e-04,0.9
4,0.574203,0.7934,0.582711,0.7899,9.8e-04,0.9
5,0.552972,0.8036,0.576284,0.7945,9.8e-04,0.8
6,0.536610,0.8098,0.570745,0.7980,9.7e-04,0.9
7,0.523356,0.8152,0.563921,0.7921,9.5e-04,0.9
8,0.511187,0.8201,0.565255,0.7974,9.4e-04,0.9
9,0.501087,0.8242,0.558837,0.7976,9.2e-04,0.9
10,0.491681,0.8271,0.560944,0.7966,9.1e-04,0.9
11,0.483337,0.8304,0.559781,0.7945,8.9e-04,0.9
12,0.475858,0.8338,0.561132,0.7949,8.7e-04,0.9
13,0.468317,0.8369,0.563280,0.7933,8.4e-04,0.9
14,0.461882,0.8389,0.565292,0.7871,8.2e-04,0.9
15,0.455782,0.8408,0.568167,0.7899,8.0e-04,0.9
16,0.450168,0.8432,0.565517,0.7896,7.7e-04,0.9
17,0.444892,0.8456,0.568778,0.7881,7.4e-04,0.9
18,0.440026,0.8472,0.574814,0.7963,7.2e-04,0.9
19,0.435440,0.8489,0.574567,0.7925,6.9e-04,0.9
20,0.430850,0.8506,0.575818,0.7867,6.6e-04,0.8
21,0.426518,0.8519,0.577429,0.7847,6.3e-04,0.8
22,0.422505,0.8536,0.583659,0.7774,6.0e-04,0.9
23,0.418595,0.8551,0.583710,0.7913,5.7e-04,0.9
24,0.415318,0.8563,0.588260,0.7913,5.4e-04,0.9
25,0.412003,0.8573,0.589296,0.7864,5.0e-04,0.9
26,0.408682,0.8591,0.592317,0.7909,4.7e-04,0.9
27,0.405852,0.8596,0.595497,0.7849,4.4e-04,0.9
28,0.402947,0.8609,0.600352,0.7824,4.1e-04,0.9
29,0.400202,0.8620,0.599756,0.7848,3.8e-04,0.9
30,0.397755,0.8625,0.604449,0.7863,3.5e-04,0.9
31,0.395158,0.8638,0.606827,0.7835,3.2e-04,0.9
32,0.393032,0.8648,0.606815,0.7827,2.9e-04,0.9
33,0.390955,0.8658,0.610981,0.7786,2.7e-04,0.8
34,0.389108,0.8662,0.612973,0.7740,2.4e-04,0.9
35,0.387267,0.8668,0.614025,0.7833,2.1e-04,0.9
36,0.385547,0.8672,0.615507,0.7824,1.9e-04,0.9
37,0.383961,0.8682,0.616772,0.7800,1.7e-04,0.9
38,0.382572,0.8683,0.618658,0.7792,1.4e-04,0.9
39,0.381340,0.8693,0.619271,0.7797,1.2e-04,0.9
40,0.380066,0.8697,0.617398,0.7788,1.0e-04,0.9
41,0.379147,0.8698,0.621126,0.7797,8.7e-05,0.9
42,0.378258,0.8704,0.621831,0.7771,7.1e-05,0.9
43,0.377453,0.8707,0.622433,0.7755,5.7e-05,0.9
44,0.376771,0.8709,0.623500,0.7785,4.5e-05,0.9
45,0.376181,0.8713,0.624916,0.7786,3.4e-05,0.9
46,0.375717,0.8716,0.623759,0.7750,2.6e-05,0.9
47,0.375379,0.8712,0.624973,0.7784,1.9e-05,0.9
48,0.375067,0.8716,0.625204,0.7783,1.4e-05,0.8
49,0.374858,0.8718,0.624907,0.7773,1.1e-05,0.8
50,0.374686,0.8717,0.625358,0.7784,1.0e-05,0.9
