iteration,mean_survival,mean_return,loss,mean_value,entropy,lr,eval_survival,jump_ratio,time_s
0,,,,,,1.0e-04,22.08,0.22,0.0
1,25.83,20.1250,45.7071,0.6881,0.4759,1.0e-04,,,21.1
2,24.29,18.5854,26.8308,4.8605,0.4578,1.0e-04,,,6.1
3,23.77,18.1616,24.3096,13.6570,0.4322,1.0e-04,,,6.1
4,25.34,19.7485,35.5011,18.7003,0.4323,1.0e-04,,,6.1
5,25.12,19.4746,45.7134,22.2628,0.4446,1.0e-04,,,6.1
6,26.50,20.5303,51.7026,25.1603,0.4492,1.0e-04,,,5.2
7,23.54,18.0908,68.2092,24.8687,0.4248,1.0e-04,,,5.2
8,25.04,19.5986,61.4625,26.8665,0.4132,1.0e-04,,,5.2
9,23.68,18.3745,73.2224,27.6859,0.4217,1.0e-04,,,6.0
10,25.87,20.2021,69.7280,28.6776,0.4276,1.0e-04,21.96,0.24,6.2
11,23.13,17.6919,80.8966,28.7109,0.4149,1.0e-04,,,6.1
12,24.24,18.5864,74.1476,29.3021,0.4208,1.0e-04,,,6.0
13,24.95,19.3882,79.4697,29.2514,0.4213,1.0e-04,,,5.3
14,25.33,19.5640,76.3143,29.7500,0.4422,1.0e-04,,,6.1
15,24.04,18.2812,80.7667,29.2932,0.4467,1.0e-04,,,5.2
16,25.10,19.2798,78.4368,29.9389,0.4300,1.0e-04,,,6.1
17,24.68,18.9561,84.3244,30.1295,0.4324,1.0e-04,,,6.1
18,25.20,19.3706,78.6910,30.2173,0.4436,1.0e-04,,,6.1
19,24.94,19.0200,80.1502,30.0142,0.4347,1.0e-04,,,6.4
20,27.52,21.3599,72.7538,32.1354,0.4333,1.0e-04,23.52,0.29,5.2
21,24.37,18.6191,88.7234,31.0833,0.4213,1.0e-04,,,5.2
22,25.53,19.5957,81.9433,31.8452,0.4212,1.0e-04,,,5.2
23,25.65,19.8545,84.9778,32.0341,0.4094,1.0e-04,,,6.1
24,25.01,19.2485,89.5115,32.9119,0.4079,1.0e-04,,,5.2
