epoch,train_recon,train_slow,train_uniform,val_recon,val_usage_pct,val_ppl_pct,lr,time_s
1,58.491199,0.335100,-1.391121,,,,1.0e-03,52.1
2,19.298578,0.180196,-1.164151,,,,1.0e-03,12.9
3,16.262893,0.190957,-1.195178,,,,1.0e-03,11.3
4,14.390761,0.232192,-1.573457,,,,1.0e-03,11.4
5,12.654450,0.262320,-2.513905,,,,1.0e-03,11.3
6,11.195636,0.292728,-2.989307,,,,1.0e-03,11.2
7,10.076393,0.341775,-2.967527,,,,1.0e-03,11.4
8,8.991374,0.388120,-2.921289,,,,1.0e-03,11.2
9,8.328033,0.430445,-2.942392,,,,1.0e-03,11.2
10,7.836251,0.469795,-2.975361,7.307106,99.8000,44.6609,1.0e-03,15.9
11,7.322165,0.500799,-3.013984,,,,1.0e-03,11.6
12,6.937772,0.530877,-3.047551,,,,1.0e-03,11.2
13,6.567934,0.552161,-3.078891,,,,1.0e-03,11.4
14,6.285915,0.568958,-3.095838,,,,1.0e-03,11.2
15,6.048540,0.581209,-3.111379,,,,1.0e-03,11.3
16,5.820399,0.592161,-3.121701,,,,1.0e-03,11.4
17,5.691677,0.601140,-3.125421,,,,1.0e-03,11.2
18,5.516615,0.608139,-3.135958,,,,1.0e-03,11.4
19,5.361028,0.612490,-3.141937,,,,1.0e-03,11.2
20,5.222123,0.616217,-3.145235,5.014153,100.0000,55.7764,1.0e-03,11.6
21,5.157716,0.622019,-3.147683,,,,1.0e-03,11.2
22,5.013215,0.624319,-3.153891,,,,1.0e-03,11.2
23,4.927461,0.626600,-3.155504,,,,1.0e-03,11.4
24,4.826685,0.628314,-3.157235,,,,1.0e-03,11.2
25,4.732510,0.628618,-3.162262,,,,1.0e-03,11.4
26,4.650444,0.629671,-3.163791,,,,1.0e-03,11.2
27,4.569414,0.630572,-3.167112,,,,1.0e-03,11.2
28,4.494039,0.630922,-3.170704,,,,1.0e-03,11.4
29,4.412909,0.631112,-3.174400,,,,1.0e-03,11.2
30,4.353336,0.631524,-3.178558,4.242822,100.0000,56.1456,1.0e-03,11.5
31,4.303874,0.630784,-3.182030,,,,1.0e-03,11.2
32,4.210659,0.628299,-3.185783,,,,1.0e-03,11.4
33,4.148586,0.628076,-3.187818,,,,1.0e-03,11.2
34,4.097364,0.627590,-3.187420,,,,1.0e-03,11.2
35,4.048140,0.626426,-3.192699,,,,1.0e-03,11.4
36,3.982806,0.624012,-3.190075,,,,1.0e-03,11.2
37,3.937557,0.623129,-3.195754,,,,1.0e-03,11.4
38,3.899457,0.621756,-3.198763,,,,1.0e-03,11.2
39,3.839873,0.618786,-3.198997,,,,1.0e-03,11.2
40,3.801425,0.618363,-3.202735,3.662752,100.0000,58.7606,1.0e-03,11.6
41,3.754308,0.615322,-3.206660,,,,1.0e-03,11.2
42,3.705558,0.613775,-3.208988,,,,1.0e-03,11.4
43,3.695145,0.611386,-3.211434,,,,1.0e-03,11.2
44,3.634164,0.609491,-3.209954,,,,1.0e-03,11.2
45,3.567714,0.607411,-3.212569,,,,1.0e-03,11.4
46,3.550296,0.605826,-3.216302,,,,9.9e-04,11.2
47,3.515946,0.604585,-3.215871,,,,9.9e-04,11.4
48,3.470459,0.602625,-3.219830,,,,9.9e-04,11.2
49,3.460899,0.601949,-3.220446,,,,9.9e-04,11.2
50,3.412073,0.600891,-3.225907,3.330782,100.0000,61.4947,9.9e-04,11.5
51,3.366533,0.598556,-3.228113,,,,9.9e-04,11.2
52,3.346186,0.597626,-3.229834,,,,9.9e-04,11.4
53,3.308062,0.596147,-3.234138,,,,9.9e-04,11.2
54,3.290896,0.595709,-3.235048,,,,9.9e-04,11.4
55,3.258074,0.593694,-3.236232,,,,9.9e-04,11.2
56,3.222021,0.591304,-3.236489,,,,9.9e-04,11.2
57,3.196533,0.590482,-3.242515,,,,9.9e-04,11.4
58,3.168355,0.589061,-3.246450,,,,9.9e-04,11.2
59,3.153721,0.587914,-3.245961,,,,9.9e-04,11.4
60,3.133447,0.586433,-3.247359,2.998352,100.0000,62.0879,9.9e-04,11.5
61,3.094958,0.585347,-3.251493,,,,9.9e-04,11.3
62,3.076203,0.584821,-3.254809,,,,9.9e-04,11.4
63,3.043030,0.581848,-3.254438,,,,9.9e-04,11.3
64,3.022641,0.581486,-3.256359,,,,9.9e-04,11.4
65,3.008160,0.581328,-3.259010,,,,9.9e-04,11.3
66,2.983938,0.579841,-3.260896,,,,9.9e-04,11.4
67,2.963016,0.579258,-3.262642,,,,9.9e-04,11.2
68,2.934819,0.578454,-3.263196,,,,9.9e-04,11.2
69,2.921649,0.577557,-3.267087,,,,9.9e-04,11.4
70,2.909800,0.577595,-3.269623,3.149321,100.0000,65.0634,9.9e-04,11.4
71,2.899229,0.576814,-3.272046,,,,9.9e-04,11.4
72,2.876603,0.575347,-3.273704,,,,9.9e-04,11.3
73,2.842267,0.574177,-3.275372,,,,9.9e-04,11.3
74,2.827909,0.573207,-3.277113,,,,9.9e-04,11.4
75,2.801800,0.573282,-3.279099,,,,9.9e-04,11.2
76,2.803619,0.573402,-3.281941,,,,9.9e-04,11.4
77,2.780243,0.571978,-3.283427,,,,9.9e-04,11.2
78,2.758148,0.571690,-3.283289,,,,9.9e-04,11.4
79,2.754513,0.571702,-3.282476,,,,9.8e-04,11.2
80,2.715839,0.569830,-3.287895,2.649127,100.0000,64.1279,9.8e-04,11.4
81,2.712581,0.569824,-3.290732,,,,9.8e-04,11.4
82,2.716141,0.569590,-3.292761,,,,9.8e-04,11.2
83,2.700067,0.569558,-3.292368,,,,9.8e-04,11.4
84,2.681748,0.568399,-3.296476,,,,9.8e-04,11.2
85,2.652902,0.567866,-3.299288,,,,9.8e-04,11.4
86,2.656316,0.567874,-3.299349,,,,9.8e-04,11.2
87,2.641346,0.567567,-3.302464,,,,9.8e-04,11.2
88,2.633274,0.566690,-3.304360,,,,9.8e-04,11.4
89,2.634901,0.567704,-3.305129,,,,9.8e-04,11.2
90,2.603593,0.565848,-3.308190,2.704072,100.0000,63.6603,9.8e-04,11.6
91,2.604367,0.567401,-3.299618,,,,9.8e-04,11.3
92,2.586833,0.565318,-3.306527,,,,9.8e-04,11.3
93,2.565830,0.566365,-3.310446,,,,9.8e-04,11.4
94,2.564617,0.566463,-3.311877,,,,9.8e-04,11.3
95,2.555664,0.565703,-3.315014,,,,9.8e-04,11.4
96,2.548796,0.566486,-3.316750,,,,9.8e-04,11.3
97,2.575002,0.568022,-3.317937,,,,9.8e-04,11.4
98,2.535400,0.565694,-3.317654,,,,9.8e-04,11.2
99,2.518679,0.565477,-3.318574,,,,9.8e-04,11.2
100,2.520286,0.566359,-3.324690,2.457053,100.0000,66.7687,9.8e-04,11.6
