epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,gap,lr,time_s
1,6.522540,6.522540,0.0049,0.0000,0.0000,0.0000,6.250742,6.250742,0.0112,0.0000,0.0000,0.0000,-0.2718,4.2e-04,89.3
2,4.506032,4.506032,0.0885,0.3226,0.0005,0.0010,3.627498,3.627498,0.1528,0.0000,0.0000,0.0000,-0.8785,8.1e-04,75.2
3,3.698954,3.698954,0.1401,0.5803,0.0624,0.1126,3.329719,3.329719,0.1795,0.2630,0.2698,0.2663,-0.3692,1.2e-03,75.4
4,3.473935,3.473935,0.1598,0.6403,0.2869,0.3962,3.198731,3.198731,0.1927,0.4400,0.3883,0.4125,-0.2752,1.6e-03,75.3
5,3.359897,3.359897,0.1716,0.7107,0.4516,0.5523,3.108183,3.108183,0.2038,0.3991,0.6205,0.4858,-0.2517,2.0e-03,75.4
6,3.276230,3.276230,0.1813,0.7429,0.5229,0.6138,3.043113,3.043113,0.2127,0.4139,0.6698,0.5116,-0.2331,2.0e-03,75.1
7,3.192530,3.192530,0.1920,0.7684,0.5844,0.6639,2.978761,2.978761,0.2222,0.4478,0.7117,0.5497,-0.2138,2.0e-03,75.2
8,3.132646,3.132646,0.1997,0.7856,0.6299,0.6992,2.936350,2.936350,0.2288,0.5232,0.6712,0.5880,-0.1963,2.0e-03,75.2
9,3.088235,3.088235,0.2056,0.8071,0.6678,0.7309,2.891703,2.891703,0.2351,0.5888,0.6488,0.6173,-0.1965,2.0e-03,75.2
10,3.050828,3.050828,0.2107,0.8125,0.6826,0.7419,2.869103,2.869103,0.2380,0.5694,0.7205,0.6361,-0.1817,2.0e-03,75.4
11,3.019203,3.019203,0.2153,0.8232,0.7038,0.7589,2.846863,2.846863,0.2422,0.4517,0.8263,0.5841,-0.1723,2.0e-03,75.2
12,2.991984,2.991984,0.2192,0.8355,0.7191,0.7729,2.820112,2.820112,0.2465,0.6152,0.7098,0.6591,-0.1719,2.0e-03,75.4
13,2.967330,2.967330,0.2227,0.8369,0.7316,0.7807,2.805513,2.805513,0.2485,0.5160,0.8044,0.6287,-0.1618,2.0e-03,75.2
14,2.946001,2.946001,0.2258,0.8489,0.7466,0.7945,2.783387,2.783387,0.2517,0.5885,0.8044,0.6797,-0.1626,2.0e-03,75.2
15,2.927068,2.927068,0.2286,0.8507,0.7590,0.8023,2.772666,2.772666,0.2536,0.5213,0.8312,0.6407,-0.1544,2.0e-03,75.2
16,2.908412,2.908412,0.2312,0.8534,0.7628,0.8055,2.753703,2.753703,0.2565,0.4859,0.8737,0.6245,-0.1547,2.0e-03,75.2
17,2.891552,2.891552,0.2337,0.8531,0.7671,0.8078,2.743280,2.743280,0.2586,0.5331,0.8395,0.6521,-0.1483,2.0e-03,75.4
18,2.874591,2.874591,0.2364,0.8574,0.7755,0.8144,2.733078,2.733078,0.2602,0.6761,0.7546,0.7132,-0.1415,2.0e-03,75.2
