epoch,train_recon,train_slow,train_uniform,val_recon,lr,time_s
1,64.673693,0.300815,-1.296101,27.404581,1.0e-03,87.1
2,19.756713,0.163427,-0.911496,18.908919,1.0e-03,16.0
3,16.401276,0.156569,-1.040184,15.897415,1.0e-03,16.6
4,14.102080,0.180238,-1.367775,13.658747,1.0e-03,15.7
5,12.412725,0.230403,-1.991067,11.939203,1.0e-03,16.6
6,10.686253,0.244510,-2.533615,10.412761,1.0e-03,16.6
7,9.531698,0.259468,-2.710306,9.454611,1.0e-03,15.7
8,8.762366,0.280736,-2.799650,8.779675,1.0e-03,16.6
9,8.246061,0.303652,-2.867169,8.406368,1.0e-03,15.7
10,7.819152,0.322234,-2.911177,7.911179,9.9e-04,16.6
11,7.449505,0.338635,-2.954356,7.564969,9.9e-04,15.7
12,7.109602,0.352776,-2.983287,7.238561,9.9e-04,16.6
13,6.858997,0.366195,-3.007486,7.047765,9.9e-04,15.7
14,6.588040,0.375290,-3.024472,6.769330,9.9e-04,16.6
15,6.390945,0.384307,-3.036766,6.555324,9.9e-04,15.7
16,6.184096,0.391910,-3.053235,6.298161,9.8e-04,16.6
17,6.015005,0.397905,-3.059016,6.203355,9.8e-04,15.7
18,5.888164,0.405104,-3.064867,6.039360,9.8e-04,16.6
19,5.739562,0.410015,-3.076142,5.894044,9.8e-04,15.7
20,5.615222,0.415652,-3.081781,5.801992,9.8e-04,16.6
21,5.517765,0.420502,-3.088115,5.780976,9.7e-04,15.7
22,5.389216,0.424315,-3.095513,5.530091,9.7e-04,16.6
23,5.290365,0.428664,-3.103297,5.578539,9.7e-04,15.7
24,5.196795,0.432271,-3.104287,5.382735,9.7e-04,16.6
25,5.103179,0.434808,-3.108432,5.234495,9.6e-04,15.7
26,5.049438,0.438372,-3.115052,5.197427,9.6e-04,16.6
27,4.925989,0.440474,-3.120969,5.319788,9.6e-04,15.7
28,4.885287,0.443643,-3.122859,4.999647,9.5e-04,16.6
29,4.795928,0.445214,-3.127543,4.962160,9.5e-04,15.7
30,4.747558,0.448256,-3.130136,4.906052,9.5e-04,16.6
31,4.655506,0.449267,-3.134604,4.867715,9.4e-04,15.7
32,4.603355,0.451135,-3.138097,4.946625,9.4e-04,16.6
33,4.555213,0.451900,-3.139928,4.716563,9.3e-04,15.7
34,4.480815,0.454546,-3.146659,4.901309,9.3e-04,16.6
35,4.471146,0.455837,-3.146927,4.681038,9.3e-04,15.7
36,4.399061,0.456875,-3.152907,4.720550,9.2e-04,16.6
