epoch,train_loss,train_recon,train_kl,val_loss,val_recon,val_kl,lr,time_s
1,0.217900,0.209100,0.008800,0.210100,0.194300,0.015800,1.0e-03,33.7
2,0.213100,0.201400,0.011600,0.200400,0.187700,0.012700,1.0e-03,29.0
3,0.207500,0.189400,0.018100,0.199700,0.176500,0.023200,1.0e-03,28.8
4,0.205200,0.183600,0.021600,0.192900,0.170400,0.022500,1.0e-03,28.2
5,0.202700,0.178600,0.024100,0.185500,0.162900,0.022600,1.0e-03,26.6
6,0.202900,0.178100,0.024800,0.190500,0.162700,0.027800,1.0e-03,27.9
7,0.202100,0.175500,0.026600,0.186800,0.160900,0.025900,1.0e-03,28.7
8,0.201600,0.175300,0.026300,0.186800,0.160600,0.026200,1.0e-03,28.0
9,0.200900,0.173800,0.027100,0.182800,0.155700,0.027100,1.0e-03,26.7
10,0.200000,0.170600,0.029500,0.180200,0.153800,0.026400,1.0e-03,27.9
11,0.199500,0.168500,0.031000,0.184200,0.148700,0.035400,1.0e-03,28.5
12,0.198700,0.167300,0.031400,0.181900,0.149100,0.032800,1.0e-03,28.3
13,0.198700,0.166900,0.031800,0.179400,0.146800,0.032600,1.0e-03,28.1
14,0.198200,0.163800,0.034400,0.174400,0.136800,0.037600,1.0e-03,29.3
15,0.196600,0.159600,0.037000,0.174400,0.139400,0.034900,1.0e-03,30.7
16,0.196200,0.159100,0.037100,0.177000,0.133900,0.043100,1.0e-03,29.0
17,0.196300,0.158600,0.037700,0.171200,0.134600,0.036600,1.0e-03,28.1
18,0.195400,0.156300,0.039100,0.171700,0.130900,0.040800,1.0e-03,28.9
19,0.193600,0.154000,0.039500,0.169900,0.129000,0.040900,1.0e-03,30.1
20,0.191300,0.151000,0.040300,0.168800,0.127400,0.041300,1.0e-03,30.1
21,0.191200,0.150500,0.040700,0.165700,0.127400,0.038400,1.0e-03,29.5
22,0.190800,0.149300,0.041500,0.162700,0.123200,0.039600,1.0e-03,27.1
23,0.189400,0.146500,0.042900,0.161600,0.120500,0.041000,1.0e-03,26.8
24,0.189100,0.146600,0.042500,0.163800,0.125300,0.038600,1.0e-03,28.4
25,0.189500,0.146800,0.042700,0.161700,0.122000,0.039700,1.0e-03,28.2
26,0.190100,0.148000,0.042000,0.162500,0.119900,0.042600,1.0e-03,28.7
27,0.189400,0.147200,0.042200,0.162100,0.119800,0.042400,1.0e-03,27.7
28,0.189100,0.146400,0.042700,0.162300,0.120300,0.042000,1.0e-03,26.7
29,0.188500,0.145300,0.043200,0.161500,0.118400,0.043100,1.0e-03,27.1
30,0.188000,0.145200,0.042800,0.161200,0.117100,0.044100,1.0e-03,27.6
31,0.188300,0.144100,0.044300,0.161100,0.118000,0.043200,1.0e-03,27.6
32,0.188200,0.145300,0.042800,0.160600,0.118600,0.042000,1.0e-03,27.6
33,0.187900,0.144900,0.043100,0.160400,0.118500,0.042000,1.0e-03,28.1
34,0.188500,0.145300,0.043200,0.161200,0.117200,0.044000,1.0e-03,27.9
35,0.188100,0.144700,0.043300,0.160900,0.121100,0.039800,1.0e-03,27.9
36,0.188200,0.145100,0.043100,0.161300,0.122700,0.038600,1.0e-03,28.0
37,0.188400,0.144000,0.044400,0.158700,0.115600,0.043000,1.0e-03,28.4
38,0.188200,0.143900,0.044300,0.163700,0.119000,0.044700,1.0e-03,28.9
39,0.187700,0.143600,0.044100,0.157900,0.116700,0.041100,1.0e-03,28.0
40,0.187200,0.143500,0.043700,0.158000,0.115900,0.042200,1.0e-03,28.0
41,0.187000,0.142800,0.044300,0.159200,0.115700,0.043500,1.0e-03,28.0
42,0.187100,0.142000,0.045100,0.162800,0.116700,0.046100,1.0e-03,28.0
43,0.187100,0.142600,0.044500,0.157800,0.114600,0.043200,1.0e-03,28.0
44,0.187100,0.142300,0.044800,0.157800,0.111700,0.046100,1.0e-03,27.8
45,0.187200,0.142300,0.044900,0.161900,0.116800,0.045100,1.0e-03,28.0
46,0.186900,0.142200,0.044700,0.158900,0.114800,0.044100,1.0e-03,28.0
47,0.187600,0.143400,0.044200,0.159400,0.115500,0.043900,1.0e-03,36.2
48,0.187400,0.143100,0.044300,0.156200,0.113700,0.042500,1.0e-03,80.5
49,0.186800,0.142400,0.044300,0.164600,0.117200,0.047400,1.0e-03,28.4
50,0.187100,0.141800,0.045300,0.161300,0.120800,0.040400,1.0e-03,28.0
51,0.187200,0.143200,0.044000,0.160400,0.118000,0.042400,1.0e-03,29.8
52,0.187000,0.142300,0.044700,0.161300,0.118900,0.042300,1.0e-03,30.7
53,0.187200,0.143600,0.043600,0.159200,0.119000,0.040200,1.0e-03,29.7
54,0.188000,0.144800,0.043200,0.160600,0.117500,0.043100,5.0e-04,29.1
55,0.186300,0.141500,0.044800,0.157600,0.114300,0.043300,5.0e-04,27.4
56,0.186000,0.141400,0.044700,0.158900,0.115200,0.043700,5.0e-04,29.1
57,0.185900,0.141500,0.044400,0.157600,0.113900,0.043700,5.0e-04,29.2
58,0.185900,0.140900,0.045000,0.158100,0.113500,0.044600,5.0e-04,28.6
59,0.185300,0.139700,0.045600,0.160900,0.113700,0.047200,5.0e-04,28.8
60,0.185600,0.140100,0.045500,0.160800,0.114500,0.046400,2.5e-04,28.6
61,0.184400,0.138300,0.046000,0.158300,0.113300,0.045000,2.5e-04,28.6
62,0.184700,0.138700,0.046000,0.158200,0.111700,0.046500,2.5e-04,28.6
63,0.184600,0.138400,0.046100,0.158000,0.111700,0.046400,2.5e-04,28.6
64,0.184700,0.139000,0.045700,0.158300,0.112100,0.046200,2.5e-04,28.5
65,0.185000,0.138200,0.046800,0.159300,0.112300,0.046900,2.5e-04,28.5
66,0.185100,0.138900,0.046300,0.159300,0.113000,0.046400,1.3e-04,28.6
67,0.184600,0.138500,0.046100,0.157400,0.111600,0.045800,1.3e-04,27.8
68,0.183700,0.137900,0.045800,0.157600,0.111100,0.046500,1.3e-04,27.8
69,0.184100,0.138100,0.046100,0.157600,0.111500,0.046100,1.3e-04,27.6
70,0.184200,0.137900,0.046300,0.158000,0.112400,0.045700,1.3e-04,28.9
71,0.184400,0.138000,0.046500,0.158100,0.111100,0.046900,1.3e-04,28.7
72,0.184100,0.137600,0.046600,0.158500,0.111200,0.047400,6.3e-05,28.5
73,0.184400,0.137400,0.046900,0.157900,0.111300,0.046600,6.3e-05,29.3
74,0.184200,0.137800,0.046500,0.157700,0.112100,0.045600,6.3e-05,30.0
75,0.184200,0.137900,0.046300,0.157000,0.111400,0.045600,6.3e-05,30.2
76,0.183700,0.137500,0.046300,0.156600,0.110700,0.045900,6.3e-05,35.0
77,0.183400,0.137300,0.046100,0.157500,0.111700,0.045700,6.3e-05,29.2
78,0.184300,0.137700,0.046600,0.158400,0.111700,0.046600,3.1e-05,30.6
79,0.183800,0.137200,0.046600,0.157000,0.110900,0.046100,3.1e-05,36.6
80,0.183900,0.137500,0.046500,0.157300,0.111200,0.046100,3.1e-05,38.8
81,0.183700,0.137400,0.046200,0.157100,0.110900,0.046200,3.1e-05,37.9
82,0.184200,0.137500,0.046700,0.157900,0.111200,0.046700,3.1e-05,40.5
83,0.184100,0.137200,0.046900,0.157900,0.111200,0.046600,3.1e-05,36.9
84,0.183400,0.137200,0.046200,0.157400,0.111500,0.045900,1.6e-05,39.2
85,0.183800,0.137500,0.046300,0.157400,0.111300,0.046100,1.6e-05,39.1
86,0.183700,0.137300,0.046400,0.157600,0.111600,0.046000,1.6e-05,39.9
87,0.183800,0.137200,0.046500,0.157600,0.111100,0.046400,1.6e-05,37.5
88,0.184200,0.137400,0.046800,0.157700,0.111200,0.046500,1.6e-05,38.9
89,0.183800,0.136900,0.046900,0.157800,0.111300,0.046500,1.6e-05,42.5
90,0.183900,0.137000,0.046900,0.157400,0.111100,0.046300,7.8e-06,40.3
91,0.183700,0.137100,0.046600,0.157300,0.111000,0.046300,7.8e-06,39.9
92,0.184400,0.137600,0.046800,0.157600,0.110900,0.046700,7.8e-06,39.6
93,0.184300,0.137200,0.047100,0.157700,0.111000,0.046800,7.8e-06,40.0
94,0.183500,0.136700,0.046800,0.157500,0.111400,0.046100,7.8e-06,38.6
95,0.183700,0.137100,0.046600,0.157500,0.111200,0.046300,7.8e-06,39.3
