iteration,mean_survival,mean_return,loss,mean_value,entropy,lr,eval_survival,jump_ratio,time_s
1,21.18,17.2090,36.3741,0.3637,0.4786,1.0e-04,,,3.2
2,20.24,16.3105,25.2482,2.5890,0.4478,1.0e-04,,,2.6
3,20.24,16.3281,14.2430,8.1854,0.4379,1.0e-04,,,2.6
4,20.23,16.3125,14.5312,11.7505,0.4265,1.0e-04,,,2.6
5,20.38,16.4336,16.1178,13.5498,0.4249,1.0e-04,,,2.6
6,20.15,16.2695,17.2396,14.3112,0.4267,1.0e-04,,,2.6
7,19.94,16.0312,17.2195,14.4826,0.4304,1.0e-04,,,2.6
8,20.15,16.2500,17.4536,14.6231,0.4219,1.0e-04,,,2.6
9,20.46,16.5098,17.4174,14.7681,0.4233,1.0e-04,,,2.6
10,19.85,15.8965,17.2679,14.7574,0.4218,1.0e-04,19.86,0.56,2.6
11,19.28,15.3750,17.1186,14.7330,0.4232,1.0e-04,,,2.6
12,20.62,16.6992,17.7310,14.7485,0.4199,1.0e-04,,,2.6
13,20.81,16.8730,18.1364,14.8136,0.4197,1.0e-04,,,2.6
14,20.33,16.3965,17.5199,14.7214,0.4286,1.0e-04,,,2.6
15,20.82,16.8984,17.5586,14.7511,0.4226,1.0e-04,,,2.6
16,20.41,16.5254,17.0381,14.5809,0.4163,1.0e-04,,,2.6
17,20.86,16.9102,17.3489,14.7293,0.4208,1.0e-04,,,2.6
18,20.86,16.9121,18.0033,14.7764,0.4171,1.0e-04,,,2.6
19,21.09,17.1719,17.6751,14.7777,0.4134,1.0e-04,,,2.6
20,20.35,16.4219,17.3151,14.7844,0.4137,1.0e-04,20.22,0.43,2.6
21,20.55,16.6055,17.6650,14.7228,0.4086,1.0e-04,,,2.6
22,20.28,16.3262,17.1838,14.6775,0.4164,1.0e-04,,,2.6
23,20.76,16.8164,17.3765,14.7170,0.4261,1.0e-04,,,2.6
24,20.03,16.0801,16.9695,14.7287,0.4176,1.0e-04,,,2.6
25,20.61,16.6484,17.2627,14.7135,0.4147,1.0e-04,,,2.6
26,20.06,16.0977,16.7270,14.6256,0.4200,1.0e-04,,,2.6
27,20.42,16.5000,17.3862,14.7245,0.4179,1.0e-04,,,2.6
28,20.50,16.5586,17.0646,14.6570,0.4037,1.0e-04,,,2.6
29,20.96,17.0488,17.7529,14.7003,0.4067,1.0e-04,,,2.6
30,21.48,17.5449,17.3627,14.6497,0.4137,1.0e-04,20.34,0.44,2.6
31,20.37,16.4336,17.5930,14.7719,0.4150,1.0e-04,,,2.5
32,20.64,16.7129,16.9605,14.6252,0.4190,1.0e-04,,,2.6
33,20.50,16.5840,16.8913,14.6418,0.4188,1.0e-04,,,2.6
34,20.50,16.5762,17.0981,14.6270,0.4104,1.0e-04,,,2.6
35,20.01,16.1035,16.4613,14.6159,0.4134,1.0e-04,,,2.5
36,21.00,17.1328,17.0740,14.5533,0.4098,1.0e-04,,,2.6
37,19.25,15.3574,16.3556,14.6150,0.4105,1.0e-04,,,2.5
38,20.49,16.5742,16.6836,14.6919,0.4157,1.0e-04,,,2.5
39,20.62,16.7266,16.7862,14.7308,0.4132,1.0e-04,,,2.5
40,20.82,16.8828,17.4972,14.5790,0.4090,1.0e-04,20.51,0.44,2.5
41,20.17,16.2480,16.5633,14.4844,0.4097,1.0e-04,,,2.5
42,20.13,16.2207,16.9319,14.6152,0.4112,1.0e-04,,,2.5
43,20.44,16.5020,16.7195,14.5695,0.4102,1.0e-04,,,2.5
44,20.98,17.0391,17.2618,14.5563,0.4013,1.0e-04,,,2.6
45,21.25,17.3164,16.7988,14.6638,0.4055,1.0e-04,,,2.6
46,20.67,16.7129,17.1786,14.6442,0.4007,1.0e-04,,,2.5
47,20.71,16.7910,16.9763,14.6086,0.4104,1.0e-04,,,2.5
48,20.40,16.4707,16.6257,14.4964,0.4075,1.0e-04,,,2.5
49,19.93,16.0137,16.6257,14.6104,0.4108,1.0e-04,,,2.5
50,20.37,16.4121,16.3345,14.5497,0.4079,1.0e-04,20.00,0.45,2.5
51,20.53,16.5898,16.6945,14.5473,0.4030,1.0e-04,,,2.5
52,20.54,16.6113,16.6541,14.5528,0.4069,1.0e-04,,,2.5
53,20.37,16.4219,16.3512,14.5325,0.4065,1.0e-04,,,2.5
54,19.99,16.0605,16.2761,14.4770,0.4061,1.0e-04,,,2.5
55,20.76,16.8145,16.7041,14.5563,0.4058,1.0e-04,,,2.5
56,20.43,16.5293,16.1282,14.5659,0.4137,1.0e-04,,,2.5
57,20.98,17.0254,16.3312,14.6085,0.4065,1.0e-04,,,2.6
58,21.19,17.2461,17.3725,14.8264,0.4024,1.0e-04,,,2.6
59,20.70,16.7598,16.1557,14.4664,0.3991,1.0e-04,,,2.5
60,19.60,15.6680,16.2219,14.5106,0.4049,1.0e-04,20.25,0.42,2.5
61,20.10,16.1934,16.4288,14.4452,0.4030,1.0e-04,,,2.5
62,20.53,16.5742,16.7592,14.6161,0.4014,1.0e-04,,,2.5
63,21.10,17.1562,16.5823,14.5629,0.4035,1.0e-04,,,2.5
64,21.11,17.1660,16.7549,14.5525,0.4056,1.0e-04,,,2.6
65,21.22,17.3027,16.6381,14.6098,0.4052,1.0e-04,,,2.6
66,20.43,16.5098,16.5296,14.5664,0.4033,1.0e-04,,,2.5
67,21.27,17.3340,16.7090,14.5371,0.4100,1.0e-04,,,2.5
68,20.23,16.2969,16.3133,14.5461,0.4067,1.0e-04,,,2.5
69,21.24,17.3184,16.4342,14.4294,0.3998,1.0e-04,,,2.6
70,20.09,16.1543,16.0508,14.5375,0.4081,1.0e-04,20.36,0.41,2.5
71,20.96,17.0312,16.1598,14.4531,0.4016,1.0e-04,,,2.5
72,20.58,16.6426,16.1151,14.4943,0.3998,1.0e-04,,,2.5
73,21.33,17.3945,16.4932,14.6054,0.4058,1.0e-04,,,2.6
74,20.61,16.6816,16.1058,14.4905,0.3985,1.0e-04,,,2.5
75,20.76,16.8379,16.1022,14.4542,0.4052,1.0e-04,,,2.5
76,20.54,16.6055,16.3431,14.4892,0.4056,1.0e-04,,,2.5
77,20.59,16.6660,15.9560,14.4720,0.4049,1.0e-04,,,2.5
78,20.43,16.5215,16.1059,14.4828,0.4059,1.0e-04,,,2.5
79,20.73,16.8125,15.6845,14.4387,0.4041,1.0e-04,,,2.5
80,20.45,16.5195,15.9212,14.4971,0.4005,1.0e-04,20.29,0.53,2.5
81,20.92,16.9746,15.8641,14.5865,0.4060,1.0e-04,,,2.5
82,19.89,15.9473,15.2243,14.4373,0.3996,1.0e-04,,,2.5
83,21.01,17.0684,15.5623,14.3872,0.4032,1.0e-04,,,2.6
84,20.20,16.2930,15.6057,14.4172,0.4018,1.0e-04,,,2.5
85,20.14,16.2266,15.8787,14.3830,0.4083,1.0e-04,,,2.5
86,20.55,16.6309,16.3119,14.4229,0.4063,1.0e-04,,,2.5
87,21.00,17.0938,15.6864,14.4489,0.4046,1.0e-04,,,2.6
88,20.94,17.0078,16.7613,14.4931,0.4055,1.0e-04,,,2.6
89,20.27,16.3418,15.9336,14.4045,0.4008,1.0e-04,,,2.5
90,19.86,15.9316,15.6865,14.4574,0.3968,1.0e-04,20.46,0.49,2.5
