epoch,train_recon,train_slow,train_uniform,val_recon,lr,time_s
1,76.668187,0.634974,-1.650841,36.407102,1.0e-03,82.3
2,24.021677,0.307337,-1.362409,21.277324,1.0e-03,14.0
3,19.007978,0.160155,-1.119829,18.949719,1.0e-03,14.4
4,16.894357,0.141939,-0.959710,16.948329,1.0e-03,13.7
5,15.278737,0.141952,-0.850105,15.019459,1.0e-03,14.4
6,13.571999,0.168481,-0.818857,13.437718,1.0e-03,13.7
7,12.349782,0.213254,-0.852379,12.165894,1.0e-03,13.7
8,11.412397,0.248809,-0.876661,11.176632,1.0e-03,14.4
9,10.594861,0.275109,-0.914838,10.430823,1.0e-03,13.7
10,10.007440,0.296754,-1.002815,9.837789,9.9e-04,14.4
11,9.508561,0.317103,-1.197772,9.516789,9.9e-04,13.7
12,9.145866,0.335751,-1.649738,9.019425,9.9e-04,13.7
13,8.662604,0.360138,-2.510595,8.554649,9.9e-04,14.4
14,8.076325,0.363008,-3.052550,7.914105,9.9e-04,13.7
15,7.526619,0.353824,-3.180124,7.399117,9.9e-04,14.4
16,7.140392,0.342873,-3.216055,6.955367,9.8e-04,13.7
17,6.804473,0.336941,-3.229759,6.900765,9.8e-04,13.7
18,6.539119,0.337276,-3.242671,6.509412,9.8e-04,14.4
19,6.315961,0.340047,-3.262412,6.294376,9.8e-04,13.8
20,6.153087,0.344063,-3.276979,6.135576,9.8e-04,14.5
21,5.966040,0.347304,-3.301949,6.012307,9.7e-04,13.8
22,5.817917,0.351413,-3.318647,5.940154,9.7e-04,13.8
23,5.700292,0.355444,-3.335687,5.948345,9.7e-04,14.4
24,5.592379,0.360209,-3.352637,5.563412,9.7e-04,13.7
25,5.458407,0.362534,-3.368230,5.529203,9.6e-04,14.4
26,5.368861,0.366729,-3.383808,5.433000,9.6e-04,13.7
27,5.270987,0.370156,-3.403865,5.304117,9.6e-04,13.7
28,5.169239,0.373266,-3.420427,5.423399,9.5e-04,14.4
29,5.093610,0.377227,-3.432619,5.198718,9.5e-04,13.7
30,5.023136,0.381060,-3.447223,5.186494,9.5e-04,14.4
31,4.947535,0.384517,-3.460585,5.031785,9.4e-04,13.7
32,4.867767,0.387583,-3.474668,4.962192,9.4e-04,13.7
33,4.802336,0.390808,-3.486914,4.875380,9.3e-04,14.4
34,4.747264,0.393655,-3.499956,4.936600,9.3e-04,13.7
35,4.663202,0.395963,-3.510427,4.848637,9.3e-04,14.4
36,4.619980,0.399182,-3.524168,4.749593,9.2e-04,13.7
37,4.593344,0.402922,-3.530960,4.699674,9.2e-04,13.7
38,4.493775,0.404513,-3.541117,4.665732,9.1e-04,14.4
39,4.495985,0.408097,-3.550449,4.636329,9.1e-04,13.7
40,4.403952,0.407924,-3.557586,4.490083,9.1e-04,14.4
41,4.376743,0.411628,-3.566404,4.436330,9.0e-04,13.7
42,4.310690,0.412560,-3.573316,4.383891,9.0e-04,13.7
43,4.311943,0.415960,-3.581930,4.390858,8.9e-04,14.4
44,4.251853,0.416463,-3.588250,4.361279,8.9e-04,13.7
45,4.196135,0.417849,-3.596705,4.295871,8.8e-04,14.4
46,4.148351,0.419968,-3.604132,4.233792,8.8e-04,13.7
47,4.130688,0.422521,-3.609473,4.221209,8.7e-04,13.7
48,4.098475,0.424471,-3.616840,4.256982,8.7e-04,14.4
49,4.037892,0.425311,-3.620106,4.149531,8.6e-04,13.7
50,4.030613,0.425594,-3.626717,4.138154,8.6e-04,14.4
51,3.940695,0.427028,-3.636018,4.140018,8.5e-04,13.7
52,3.947558,0.428918,-3.638469,4.040555,8.4e-04,13.7
53,3.906762,0.430850,-3.643198,4.020370,8.4e-04,14.4
54,3.903484,0.431797,-3.648441,4.026314,8.3e-04,13.7
55,3.838115,0.431973,-3.652956,4.022322,8.3e-04,14.4
56,3.826953,0.433980,-3.657080,3.903354,8.2e-04,13.7
57,3.767600,0.434586,-3.663689,3.972711,8.1e-04,13.7
58,3.749517,0.435844,-3.668512,3.845184,8.1e-04,14.4
59,3.741884,0.438382,-3.669959,3.855077,8.0e-04,13.7
60,3.706956,0.438535,-3.672691,3.769954,8.0e-04,14.4
61,3.656898,0.438719,-3.677744,3.814388,7.9e-04,13.8
62,3.649026,0.441029,-3.681904,3.721932,7.8e-04,13.8
63,3.616338,0.440397,-3.685273,3.736232,7.8e-04,14.5
64,3.597440,0.442135,-3.688698,3.763387,7.7e-04,13.8
65,3.580635,0.442717,-3.692256,3.703255,7.6e-04,14.4
66,3.533581,0.444099,-3.695659,3.611889,7.6e-04,13.7
67,3.525777,0.445174,-3.698780,3.642919,7.5e-04,13.7
68,3.499516,0.445409,-3.700373,3.674771,7.4e-04,14.5
