epoch,train_total,train_loss,train_acc,train_death_acc,train_cpc,val_total,val_loss,val_acc,val_death_acc,val_cpc,gap,lr,time_s
1,6.937508,6.646184,0.0033,0.6681,2.9132,6.653322,6.528158,0.0023,0.9468,1.2516,-0.2842,2.1e-04,154.9
2,5.399121,5.226512,0.0554,0.5886,1.7261,4.162230,4.059806,0.1264,0.9798,1.0242,-1.2369,4.1e-04,117.4
3,4.171032,4.053009,0.1245,0.7086,1.1802,3.671258,3.592146,0.1658,0.9793,0.7911,-0.4998,6.0e-04,117.5
4,3.765094,3.675984,0.1511,0.7485,0.8911,3.489943,3.420037,0.1815,0.9666,0.6991,-0.2752,8.0e-04,116.8
5,3.555501,3.486176,0.1687,0.7985,0.6933,3.342198,3.296619,0.1951,0.9345,0.4558,-0.2133,1.0e-03,117.3
6,3.412266,3.353386,0.1826,0.8326,0.5888,3.216415,3.174753,0.2099,0.9448,0.4166,-0.1959,1.0e-03,116.7
7,3.296874,3.244227,0.1941,0.8615,0.5265,3.186837,3.147316,0.2133,0.9464,0.3952,-0.1100,1.0e-03,116.4
8,3.219002,3.171099,0.2032,0.8766,0.4790,3.127065,3.090216,0.2176,0.9433,0.3685,-0.0919,1.0e-03,116.4
9,3.149788,3.104712,0.2097,0.8759,0.4508,3.024224,2.990030,0.2326,0.9553,0.3419,-0.1256,1.0e-03,116.4
10,3.114430,3.070094,0.2153,0.8944,0.4434,3.012258,2.979511,0.2337,0.9554,0.3275,-0.1022,1.0e-03,115.9
11,3.068933,3.026290,0.2206,0.8994,0.4264,2.967853,2.934997,0.2413,0.9561,0.3286,-0.1011,1.0e-03,116.5
12,3.042132,2.999847,0.2245,0.9010,0.4228,2.942283,2.908552,0.2438,0.9688,0.3373,-0.0998,1.0e-03,116.4
13,3.009364,2.968136,0.2292,0.9012,0.4123,2.931228,2.899111,0.2446,0.9502,0.3212,-0.0781,1.0e-03,116.0
14,2.967116,2.925949,0.2344,0.9109,0.4117,2.951227,2.917848,0.2413,0.9628,0.3338,-0.0159,1.0e-03,116.4
15,2.968301,2.926877,0.2350,0.9103,0.4142,2.901265,2.870522,0.2496,0.9676,0.3074,-0.0670,9.9e-04,116.0
16,2.940948,2.900021,0.2377,0.9137,0.4093,2.870309,2.839241,0.2532,0.9569,0.3107,-0.0706,9.9e-04,116.3
17,2.917916,2.877668,0.2416,0.9183,0.4025,2.843281,2.813274,0.2582,0.9533,0.3001,-0.0746,9.9e-04,116.4
18,2.901102,2.861190,0.2446,0.9182,0.3991,2.841424,2.810832,0.2583,0.9466,0.3059,-0.0597,9.9e-04,115.9
19,2.887492,2.848194,0.2465,0.9205,0.3930,2.838343,2.806991,0.2590,0.9511,0.3135,-0.0491,9.9e-04,116.3
